"","Time","strain","OD600","trial","mean_OD600","sem_OD600"
"106",1.25,"Pa14_58770",0.011,"trial_1",0.01075,0.00356779577143461
"107",1.25,"Pa14_06570",0.011,"trial_1",0.00925,0.00415080313513742
"108",1.25,"Pa14_32750",0.009,"trial_1",0.001,0.00535412613473634
"109",1.25,"Pa14_62830",0.02,"trial_1",0.0185,0.00170782512765993
"110",1.25,"Pa14_17250",0.01,"trial_1",0.01,0.00374165738677394
"111",1.25,"Pa14_20440",-0.002,"trial_1",0.00875,0.00543714079273289
"112",1.25,"Pa14_68350",0.008,"trial_1",0.01025,0.00356779577143461
"113",1.25,"Pa14_72840",0.024,"trial_1",0.028,0.00743863786814047
"114",1.25,"Pa14",0.01,"trial_1",0.0125,0.00678847061813877
"115",1.5,"Pa14_51430",0.006,"trial_1",0.004,0.00561248608016091
"116",1.5,"Pa14_16930",0.008,"trial_1",0.02925,0.0195592049940687
"117",1.5,"Pa14_09810",0.026,"trial_1",0.028,0.00581664278887172
"118",1.5,"Pa14_64590",0.014,"trial_1",0.01475,0.00375
"119",1.5,"Pa14_05300",0.008,"trial_1",0.01475,0.00381608438061844
"120",1.5,"Pa14_18520",0.03,"trial_1",0.0175,0.00510718448201485
"121",1.5,"Pa14_01960",0.002,"trial_1",0.01175,0.00458938993767145
"122",1.5,"Pa14_09480",0.02,"trial_1",0.022,0.00729154761807579
"123",1.5,"Pa14_19120",0.022,"trial_1",0.00875,0.0058647961033043
"124",1.5,"Pa14_48650",0.038,"trial_1",0.02425,0.00521815740148442
"125",1.5,"Pa14_58770",0.014,"trial_1",0.013,0.00291547594742265
"126",1.5,"Pa14_06570",0.013,"trial_1",0.01125,0.00335099487714718
"127",1.5,"Pa14_32750",0.013,"trial_1",0.00525,0.00539096466321196
"128",1.5,"Pa14_62830",0.021,"trial_1",0.0215,0.00202072594216369
"129",1.5,"Pa14_17250",0.005,"trial_1",0.01125,0.00372771154105751
"130",1.5,"Pa14_20440",0.001,"trial_1",0.012,0.00504975246918104
"131",1.5,"Pa14_68350",0.012,"trial_1",0.01425,0.00265753645318366
"132",1.5,"Pa14_72840",0.027,"trial_1",0.03175,0.00820949653348689
"133",1.5,"Pa14",0.011,"trial_1",0.0145,0.0068129778119899
"134",1.75,"Pa14_51430",0.008,"trial_1",0.00925,0.00620987117418711
"135",1.75,"Pa14_16930",0.01,"trial_1",0.036,0.0222523407008491
"136",1.75,"Pa14_09810",0.031,"trial_1",0.0355,0.00466368952654441
"137",1.75,"Pa14_64590",0.019,"trial_1",0.0205,0.00392640632979658
"138",1.75,"Pa14_05300",0.011,"trial_1",0.01875,0.00306526235962492
"139",1.75,"Pa14_18520",0.037,"trial_1",0.024,0.00456435464587638
"140",1.75,"Pa14_01960",0.005,"trial_1",0.019,0.006
"141",1.75,"Pa14_09480",0.021,"trial_1",0.02775,0.00826009483399959
"142",1.75,"Pa14_19120",0.026,"trial_1",0.01325,0.00618297393384985
"143",1.75,"Pa14_48650",0.039,"trial_1",0.027,0.00441588043316392
"144",1.75,"Pa14_58770",0.017,"trial_1",0.01575,0.00235849528301415
"145",1.75,"Pa14_06570",0.016,"trial_1",0.01525,0.00188745860881769
"146",1.75,"Pa14_32750",0.017,"trial_1",0.0085,0.00523609269080167
"147",1.75,"Pa14_62830",0.022,"trial_1",0.02425,0.00375
"148",1.75,"Pa14_17250",0.007,"trial_1",0.015,0.00374165738677394
"149",1.75,"Pa14_20440",0.004,"trial_1",0.01575,0.00498957245997423
"150",1.75,"Pa14_68350",0.016,"trial_1",0.0195,0.00217944947177034
"151",1.75,"Pa14_72840",0.03,"trial_1",0.0365,0.0102996763703203
"152",1.75,"Pa14",0.012,"trial_1",0.0165,0.00622494979899437
"153",2,"Pa14_51430",0.011,"trial_1",0.02,0.00922857879993809
"154",2,"Pa14_16930",0.011,"trial_1",0.047,0.0288905982400273
"155",2,"Pa14_09810",0.041,"trial_1",0.056,0.011202678251204
"156",2,"Pa14_64590",0.026,"trial_1",0.02975,0.00447911821679223
"157",2,"Pa14_05300",0.013,"trial_1",0.0245,0.00405174859371441
"158",2,"Pa14_18520",0.043,"trial_1",0.03225,0.00402854398842394
"159",2,"Pa14_01960",0.006,"trial_1",0.027,0.00944281031614353
"160",2,"Pa14_09480",0.021,"trial_1",0.03725,0.0140081821328346
"161",2,"Pa14_19120",0.028,"trial_1",0.01925,0.00672526331578673
"162",2,"Pa14_48650",0.041,"trial_1",0.03225,0.00314576434802948
"163",2,"Pa14_58770",0.022,"trial_1",0.02075,0.00131497781983829
"164",2,"Pa14_06570",0.019,"trial_1",0.01975,0.00125
"165",2,"Pa14_32750",0.024,"trial_1",0.01625,0.00597738794680977
"166",2,"Pa14_62830",0.023,"trial_1",0.0275,0.00533072853057316
"167",2,"Pa14_17250",0.009,"trial_1",0.02,0.00443471156521669
"168",2,"Pa14_20440",0.007,"trial_1",0.02125,0.005359959576962
"169",2,"Pa14_68350",0.02,"trial_1",0.02675,0.00319830684373258
"170",2,"Pa14_72840",0.035,"trial_1",0.042,0.0122133806403742
"171",2,"Pa14",0.013,"trial_1",0.019,0.00667083203206317
"172",2.25,"Pa14_51430",0.014,"trial_1",0.03475,0.0157447081056885
"173",2.25,"Pa14_16930",0.012,"trial_1",0.0785,0.053563824857205
"174",2.25,"Pa14_09810",0.047,"trial_1",0.07275,0.0173607555519146
"175",2.25,"Pa14_64590",0.036,"trial_1",0.04125,0.00665050123424293
"176",2.25,"Pa14_05300",0.017,"trial_1",0.0345,0.00775134396948899
"177",2.25,"Pa14_18520",0.054,"trial_1",0.04575,0.00634264666102934
"178",2.25,"Pa14_01960",0.012,"trial_1",0.04225,0.0159811086390567
"179",2.25,"Pa14_09480",0.022,"trial_1",0.05975,0.0320738081098373
"180",2.25,"Pa14_19120",0.034,"trial_1",0.029,0.0091469484893415
"181",2.25,"Pa14_48650",0.045,"trial_1",0.04,0.00234520787991171
"182",2.25,"Pa14_58770",0.027,"trial_1",0.02725,0.000853912563829967
"183",2.25,"Pa14_06570",0.023,"trial_1",0.0245,0.000645497224367903
"184",2.25,"Pa14_32750",0.032,"trial_1",0.024,0.00801040989379861
"185",2.25,"Pa14_62830",0.024,"trial_1",0.03175,0.00737535309889183
"186",2.25,"Pa14_17250",0.012,"trial_1",0.02825,0.00643395938231921
"187",2.25,"Pa14_20440",0.012,"trial_1",0.02675,0.00551324163567436
"188",2.25,"Pa14_68350",0.029,"trial_1",0.03575,0.00521815740148442
"189",2.25,"Pa14_72840",0.039,"trial_1",0.0495,0.0147732867026942
"190",2.25,"Pa14",0.015,"trial_1",0.024,0.00660807586719967
"191",2.5,"Pa14_51430",0.02,"trial_1",0.048,0.0215522620622523
"192",2.5,"Pa14_16930",0.014,"trial_1",0.08575,0.0506859201356748
"193",2.5,"Pa14_09810",0.071,"trial_1",0.09325,0.0143258216750966
"194",2.5,"Pa14_64590",0.047,"trial_1",0.055,0.00947804480540862
"195",2.5,"Pa14_05300",0.02,"trial_1",0.0485,0.0106026726190459
"196",2.5,"Pa14_18520",0.065,"trial_1",0.06475,0.0130152154547412
"197",2.5,"Pa14_01960",0.017,"trial_1",0.06,0.0240312296813958
"198",2.5,"Pa14_09480",0.022,"trial_1",0.05675,0.0267063506804405
"199",2.5,"Pa14_19120",0.041,"trial_1",0.03875,0.0120856319652718
"200",2.5,"Pa14_48650",0.05,"trial_1",0.04825,0.00154784796841723
"201",2.5,"Pa14_58770",0.038,"trial_1",0.037,0.00248327740429189
"202",2.5,"Pa14_06570",0.028,"trial_1",0.031,0.00238047614284762
"203",2.5,"Pa14_32750",0.041,"trial_1",0.03575,0.0107809631604355
"204",2.5,"Pa14_62830",0.024,"trial_1",0.035,0.00827647267862342
"205",2.5,"Pa14_17250",0.015,"trial_1",0.037,0.00901849950564579
"206",2.5,"Pa14_20440",0.018,"trial_1",0.03925,0.00745402575793779
"207",2.5,"Pa14_68350",0.037,"trial_1",0.05,0.0103842829956301
"208",2.5,"Pa14_72840",0.047,"trial_1",0.0705,0.027232027712481
"209",2.5,"Pa14",0.017,"trial_1",0.03025,0.00807645755679225
"210",2.75,"Pa14_51430",0.028,"trial_1",0.09625,0.0501603678216179
"211",2.75,"Pa14_16930",0.016,"trial_1",0.1145,0.0628351016550463
"212",2.75,"Pa14_09810",0.083,"trial_1",0.11025,0.0183365527476313
"213",2.75,"Pa14_64590",0.064,"trial_1",0.08925,0.0218684514007432
"214",2.75,"Pa14_05300",0.028,"trial_1",0.07,0.0209880918618154
"215",2.75,"Pa14_18520",0.087,"trial_1",0.0935,0.028321075779944
"216",2.75,"Pa14_01960",0.026,"trial_1",0.08825,0.0377853035804487
"217",2.75,"Pa14_09480",0.026,"trial_1",0.07625,0.0405922303731474
"218",2.75,"Pa14_19120",0.055,"trial_1",0.07125,0.0269764557840104
"219",2.75,"Pa14_48650",0.06,"trial_1",0.06925,0.0095076723404487
"220",2.75,"Pa14_58770",0.051,"trial_1",0.05125,0.00592135964116351
"221",2.75,"Pa14_06570",0.037,"trial_1",0.041,0.00470814896394185
"222",2.75,"Pa14_32750",0.059,"trial_1",0.049,0.0132224556468658
"223",2.75,"Pa14_62830",0.026,"trial_1",0.04925,0.0204016951910048
"224",2.75,"Pa14_17250",0.022,"trial_1",0.05025,0.0123043014159006
"225",2.75,"Pa14_20440",0.03,"trial_1",0.0495,0.00924211375534118
"226",2.75,"Pa14_68350",0.053,"trial_1",0.075,0.0234271921777522
"227",2.75,"Pa14_72840",0.061,"trial_1",0.0885,0.033036595869833
"228",2.75,"Pa14",0.024,"trial_1",0.04175,0.00986893273527251
"229",3,"Pa14_51430",0.041,"trial_1",0.13725,0.066163150620266
"230",3,"Pa14_16930",0.019,"trial_1",0.153,0.0779647356180985
"231",3,"Pa14_09810",0.095,"trial_1",0.135,0.021920310216783
"232",3,"Pa14_64590",0.118,"trial_1",0.14375,0.0370728449587206
"233",3,"Pa14_05300",0.036,"trial_1",0.1005,0.0314152298522017
"234",3,"Pa14_18520",0.124,"trial_1",0.1385,0.0348914984869763
"235",3,"Pa14_01960",0.039,"trial_1",0.138,0.0476042715170253
"236",3,"Pa14_09480",0.028,"trial_1",0.10675,0.065736056823228
"237",3,"Pa14_19120",0.075,"trial_1",0.117,0.0440056814513763
"238",3,"Pa14_48650",0.074,"trial_1",0.115,0.0274195793792198
"239",3,"Pa14_58770",0.076,"trial_1",0.06925,0.00733001819006383
"240",3,"Pa14_06570",0.048,"trial_1",0.05275,0.00826009483399959
"241",3,"Pa14_32750",0.082,"trial_1",0.0885,0.0278403184847683
"242",3,"Pa14_62830",0.027,"trial_1",0.06475,0.0335568547393822
"243",3,"Pa14_17250",0.031,"trial_1",0.08075,0.0280843224355986
"244",3,"Pa14_20440",0.047,"trial_1",0.076,0.0135462171841441
"245",3,"Pa14_68350",0.074,"trial_1",0.10025,0.03025
"246",3,"Pa14_72840",0.081,"trial_1",0.1195,0.040825849654355
"247",3,"Pa14",0.032,"trial_1",0.0555,0.0125996031683542
"248",3.25,"Pa14_51430",0.059,"trial_1",0.19675,0.0935382052069278
"249",3.25,"Pa14_16930",0.024,"trial_1",0.1925,0.0956769738930603
"250",3.25,"Pa14_09810",0.16,"trial_1",0.1725,0.0216198211525134
"251",3.25,"Pa14_64590",0.185,"trial_1",0.20925,0.0514107235895392
"252",3.25,"Pa14_05300",0.057,"trial_1",0.15625,0.0446530607386922
"253",3.25,"Pa14_18520",0.219,"trial_1",0.21275,0.0543083403662212
"254",3.25,"Pa14_01960",0.054,"trial_1",0.1965,0.0607515431902762
"255",3.25,"Pa14_09480",0.032,"trial_1",0.151,0.100341084971876
"256",3.25,"Pa14_19120",0.097,"trial_1",0.17275,0.0682512209902993
"257",3.25,"Pa14_48650",0.095,"trial_1",0.15,0.0366014571658925
"258",3.25,"Pa14_58770",0.091,"trial_1",0.10475,0.0227390083336983
"259",3.25,"Pa14_06570",0.064,"trial_1",0.08425,0.0237394713504745
"260",3.25,"Pa14_32750",0.085,"trial_1",0.12975,0.0471864652204422
"261",3.25,"Pa14_62830",0.028,"trial_1",0.0785,0.0436281636866218
"262",3.25,"Pa14_17250",0.043,"trial_1",0.10125,0.0344102092408634
"263",3.25,"Pa14_20440",0.066,"trial_1",0.10925,0.0269671868511839
"264",3.25,"Pa14_68350",0.091,"trial_1",0.13275,0.0459916206136147
"265",3.25,"Pa14_72840",0.1,"trial_1",0.167,0.0581649952004353
"266",3.25,"Pa14",0.037,"trial_1",0.0795,0.0261422391287867
"267",3.5,"Pa14_51430",0.081,"trial_1",0.29125,0.13000280445693
"268",3.5,"Pa14_16930",0.032,"trial_1",0.237,0.117758226888825
"269",3.5,"Pa14_09810",0.217,"trial_1",0.21225,0.0299565657800312
"270",3.5,"Pa14_64590",0.251,"trial_1",0.26425,0.0552982443964845
"271",3.5,"Pa14_05300",0.071,"trial_1",0.20675,0.0609102823831905
"272",3.5,"Pa14_18520",0.283,"trial_1",0.27725,0.0717732250448127
"273",3.5,"Pa14_01960",0.054,"trial_1",0.24825,0.0741196948635561
"274",3.5,"Pa14_09480",0.036,"trial_1",0.1825,0.122136876768103
"275",3.5,"Pa14_19120",0.105,"trial_1",0.228,0.0947056844474853
"276",3.5,"Pa14_48650",0.15,"trial_1",0.22975,0.0500022916141517
"277",3.5,"Pa14_58770",0.167,"trial_1",0.15925,0.031148501836632
"278",3.5,"Pa14_06570",0.085,"trial_1",0.115,0.0332590839721521
"279",3.5,"Pa14_32750",0.145,"trial_1",0.1885,0.06652631058461
"280",3.5,"Pa14_62830",0.03,"trial_1",0.0935,0.0540285418397844
"281",3.5,"Pa14_17250",0.061,"trial_1",0.15675,0.054455448151065
"282",3.5,"Pa14_20440",0.086,"trial_1",0.1625,0.0405883809318217
"283",3.5,"Pa14_68350",0.139,"trial_1",0.208,0.0638996609276346
"284",3.5,"Pa14_72840",0.109,"trial_1",0.221,0.0833496650663137
"285",3.5,"Pa14",0.053,"trial_1",0.1215,0.0413733005693285
"286",3.75,"Pa14_51430",0.103,"trial_1",0.3375,0.144288195405353
"287",3.75,"Pa14_16930",0.04,"trial_1",0.308,0.135040117495999
"288",3.75,"Pa14_09810",0.27,"trial_1",0.25325,0.0338116720477806
"289",3.75,"Pa14_64590",0.329,"trial_1",0.3435,0.0605426846668255
"290",3.75,"Pa14_05300",0.154,"trial_1",0.282,0.0607343944290767
"291",3.75,"Pa14_18520",0.391,"trial_1",0.36025,0.0750848131559683
"292",3.75,"Pa14_01960",0.178,"trial_1",0.3345,0.0629252201691288
"293",3.75,"Pa14_09480",0.042,"trial_1",0.2135,0.139818036509362
"294",3.75,"Pa14_19120",0.208,"trial_1",0.3135,0.113384669745664
"295",3.75,"Pa14_48650",0.227,"trial_1",0.2865,0.0570985989320228
"296",3.75,"Pa14_58770",0.239,"trial_1",0.2255,0.0557890371548628
"297",3.75,"Pa14_06570",0.095,"trial_1",0.145,0.0454441048615403
"298",3.75,"Pa14_32750",0.235,"trial_1",0.27325,0.0880041428949039
"299",3.75,"Pa14_62830",0.031,"trial_1",0.113,0.0689057327078089
"300",3.75,"Pa14_17250",0.083,"trial_1",0.21525,0.064870865314613
"301",3.75,"Pa14_20440",0.161,"trial_1",0.253,0.0440397547677096
"302",3.75,"Pa14_68350",0.227,"trial_1",0.277,0.0800197892190842
"303",3.75,"Pa14_72840",0.226,"trial_1",0.3165,0.102746046152638
"304",3.75,"Pa14",0.073,"trial_1",0.16925,0.0622098263942281
"305",4,"Pa14_51430",0.167,"trial_1",0.413,0.155538312536387
"306",4,"Pa14_16930",0.054,"trial_1",0.39125,0.16632867812457
"307",4,"Pa14_09810",0.275,"trial_1",0.2885,0.0352384732926953
"308",4,"Pa14_64590",0.419,"trial_1",0.433,0.0605364903728872
"309",4,"Pa14_05300",0.213,"trial_1",0.3515,0.0670727217279872
"310",4,"Pa14_18520",0.478,"trial_1",0.45275,0.0730380893780773
"311",4,"Pa14_01960",0.24,"trial_1",0.4065,0.0643072054024016
"312",4,"Pa14_09480",0.054,"trial_1",0.2725,0.185974236566968
"313",4,"Pa14_19120",0.311,"trial_1",0.3955,0.130692068109226
"314",4,"Pa14_48650",0.321,"trial_1",0.36625,0.0562944269000049
"315",4,"Pa14_58770",0.354,"trial_1",0.34925,0.056071940398028
"316",4,"Pa14_06570",0.184,"trial_1",0.23925,0.0663241723154789
"317",4,"Pa14_32750",0.312,"trial_1",0.36975,0.117540329958133
"318",4,"Pa14_62830",0.033,"trial_1",0.137,0.0856358569759187
"319",4,"Pa14_17250",0.096,"trial_1",0.299,0.0921312469614227
"320",4,"Pa14_20440",0.237,"trial_1",0.34425,0.0563136676719486
"321",4,"Pa14_68350",0.321,"trial_1",0.3815,0.0916846951968175
"322",4,"Pa14_72840",0.286,"trial_1",0.40375,0.125066898764888
"323",4,"Pa14",0.096,"trial_1",0.22525,0.0810117018296328
"324",4.25,"Pa14_51430",0.306,"trial_1",0.54225,0.154816221695273
"325",4.25,"Pa14_16930",0.073,"trial_1",0.4895,0.214818334102717
"326",4.25,"Pa14_09810",0.331,"trial_1",0.34,0.045
"327",4.25,"Pa14_64590",0.526,"trial_1",0.51775,0.0653355122935963
"328",4.25,"Pa14_05300",0.311,"trial_1",0.43925,0.0681522499017213
"329",4.25,"Pa14_18520",0.614,"trial_1",0.55225,0.0831247807014651
"330",4.25,"Pa14_01960",0.327,"trial_1",0.48675,0.0671644437183842
"331",4.25,"Pa14_09480",0.072,"trial_1",0.3145,0.217504597652555
"332",4.25,"Pa14_19120",0.452,"trial_1",0.502,0.159545186911629
"333",4.25,"Pa14_48650",0.415,"trial_1",0.45525,0.0611287916342755
"334",4.25,"Pa14_58770",0.489,"trial_1",0.4395,0.067715704726944
"335",4.25,"Pa14_06570",0.254,"trial_1",0.30625,0.087685398822533
"336",4.25,"Pa14_32750",0.462,"trial_1",0.4675,0.140204909566914
"337",4.25,"Pa14_62830",0.036,"trial_1",0.1565,0.0972561052068198
"338",4.25,"Pa14_17250",0.214,"trial_1",0.4025,0.0915364226232742
"339",4.25,"Pa14_20440",0.341,"trial_1",0.461,0.0572640084753649
"340",4.25,"Pa14_68350",0.454,"trial_1",0.51225,0.103969847391764
"341",4.25,"Pa14_72840",0.408,"trial_1",0.52075,0.129376308366975
"342",4.25,"Pa14",0.159,"trial_1",0.29975,0.100057795798229
"343",4.5,"Pa14_51430",0.351,"trial_1",0.631,0.178397029123245
"344",4.5,"Pa14_16930",0.099,"trial_1",0.62875,0.282136602552735
"345",4.5,"Pa14_09810",0.373,"trial_1",0.3935,0.0544403343119787
"346",4.5,"Pa14_64590",0.604,"trial_1",0.5965,0.0750294386668771
"347",4.5,"Pa14_05300",0.421,"trial_1",0.54025,0.0726961427220638
"348",4.5,"Pa14_18520",0.702,"trial_1",0.64125,0.0952009935172247
"349",4.5,"Pa14_01960",0.402,"trial_1",0.559,0.0714807666439022
"350",4.5,"Pa14_09480",0.09,"trial_1",0.4055,0.262187750794477
"351",4.5,"Pa14_19120",0.558,"trial_1",0.6225,0.185106500876297
"352",4.5,"Pa14_48650",0.489,"trial_1",0.534,0.0757374852148305
"353",4.5,"Pa14_58770",0.605,"trial_1",0.5515,0.0646148847660764
"354",4.5,"Pa14_06570",0.346,"trial_1",0.39175,0.0930872126914683
"355",4.5,"Pa14_32750",0.594,"trial_1",0.59125,0.148154972354401
"356",4.5,"Pa14_62830",0.041,"trial_1",0.182,0.113164334782062
"357",4.5,"Pa14_17250",0.29,"trial_1",0.49575,0.106361314239091
"358",4.5,"Pa14_20440",0.469,"trial_1",0.565,0.0586685605754905
