"","Media","Strain","Trial","OD600"
"63","LB","JV137","trial_1",1.699
"64","LB","JV138","trial_1",1.291
"65","LB","JV139","trial_1",1.637
"66","LB","JV140","trial_1",1.75
"67","LB","JV141","trial_1",2.025
"68","LB","JV142","trial_1",1.627
"69","LB","JV143","trial_1",1.619
"70","LB","JV144","trial_1",1.715
"71","LB","JV145","trial_1",1.981
"72","LB","JV146","trial_1",2.044
"73","LB","JV147","trial_1",2.079
"74","LB","JV148","trial_1",1.616
"75","LB","JV149","trial_1",1.691
"76","LB","JV150","trial_1",1.705
"77","LB","JV151","trial_1",1.716
"78","LB","JV152","trial_1",1.491
"79","LB","JV153","trial_1",1.733
"80","LB","JV154","trial_1",1.614
"81","LB","JV155","trial_1",1.695
"82","LB","JV156","trial_1",1.744
"83","LB","JV157","trial_1",1.938
"84","LB","JV158","trial_1",1.372
"85","LB","JV159","trial_1",1.031
"86","LB","JV160","trial_1",1.111
"87","LB","JV161","trial_1",0.943
"88","LB","JV162","trial_1",1.114
"89","LB","JV163","trial_1",1.089
"90","LB","JV164","trial_1",1.729
"91","LB","JV165","trial_1",1.326
"92","LB","JV166","trial_1",1.414
"93","LB","JV167","trial_1",0.775
"94","LB","JV168","trial_1",1.426
"95","LB","JV169","trial_1",1.882
"96","LB","JV170","trial_1",1.86
"97","LB","JV171","trial_1",1.585
"98","LB","JV172","trial_1",1.018
"99","LB","JV173","trial_1",1.233
"100","LB","JV174","trial_1",1.731
"101","LB","JV175","trial_1",1.761
"102","LB","JV176","trial_1",1.096
"103","LB","JV177","trial_1",1.167
"104","LB","JV178","trial_1",2
"105","LB","JV179","trial_1",1.031
"106","LB","JV180","trial_1",1.134
"107","LB","JV181","trial_1",1.252
"108","LB","JV182","trial_1",1.855
"109","LB","JV183","trial_1",1.86
"110","LB","JV184","trial_1",1.533
"111","LB","JV185","trial_1",1.722
"112","LB","JV186","trial_1",1.168
"113","LB","JV187","trial_1",1.075
"114","LB","JV188","trial_1",1.947
"115","LB","JV189","trial_1",1.172
"116","LB","JV190","trial_1",1.961
"117","LB","JV191","trial_1",1.232
"118","LB","JV192","trial_1",1.874
"119","LB","JV205","trial_1",1.323
"120","LB","JV206","trial_1",1.221
"121","LB","JV207","trial_1",1.207
"122","LB","JV208","trial_1",2.13
"123","LB","JV209","trial_1",1.734
"124","LB","JV210","trial_1",1.832
"125","LB","JV211","trial_1",1.978
"126","LB","JV212","trial_1",1.326
"127","LB","JV213","trial_1",1.305
"128","LB","JV214","trial_1",1.461
"129","LB","JV215","trial_1",1.278
"130","LB","JV216","trial_1",1.094
"131","LB","JV217","trial_1",2.06
"132","LB","JV218","trial_1",2.162
"133","LB","JV219","trial_1",1.169
"134","LB","JV220","trial_1",1.344
"135","LB","JV221","trial_1",1.526
"136","LB","JV222","trial_1",1.531
"137","LB","JV223","trial_1",1.392
"138","LB","JV224","trial_1",1.993
"139","LB","JV225","trial_1",1.52
"140","LB","JV226","trial_1",1.564
"141","LB","JV227","trial_1",1.549
"142","LB","JV228","trial_1",1.605
"143","LB","JV231","trial_1",1.712
"144","LB","JV232","trial_1",1.674
"145","LB","JV233","trial_1",2.103
"146","LB","JV234","trial_1",2.041
"147","LB","JV235","trial_1",1.546
"148","LB","JV236","trial_1",1.524
"149","LB","JV237","trial_1",1.534
"150","LB","JV238","trial_1",2.136
"151","LB","JV239","trial_1",2.183
"152","LB","JV240","trial_1",2.075
"153","LB","JV241","trial_1",2.039
"154","LB","JV242","trial_1",1.596
"155","LB","JV243","trial_1",2.325
"156","LB","JV244","trial_1",1.664
"157","LB","JV245","trial_1",1.84
"158","LB","JV246","trial_1",2.043
"159","LB","JV247","trial_1",1.924
"160","LB","JV248","trial_1",2.118
"161","LB","JV249","trial_1",1.672
"162","LB","JV250","trial_1",1.695
"163","LB","JV251","trial_1",1.713
"164","LB","JV252","trial_1",1.724
"165","LB","JV253","trial_1",2.107
"166","LB","JV254","trial_1",1.753
"167","LB","JV255","trial_1",2.127
"168","LB","JV256","trial_1",0.773
"169","LB","JV278","trial_1",1.442
"170","LB","JV281","trial_1",1.545
"171","LB","JV284","trial_1",1.593
"172","LB","JV285","trial_1",0.698
"173","LB","JV286","trial_1",1.342
"174","LB","JV385","trial_1",1.522
"175","LB","JV386","trial_1",0.81
"176","LB","JV387","trial_1",1.413
"177","LB","JV388","trial_1",0.802
"178","LB","JV389","trial_1",0.715
"179","LB","JV390","trial_1",1.659
"180","LB","JV396","trial_1",0.808
"181","LB","JV397","trial_1",0.671
"182","LB","JV398","trial_1",1.795
"183","LB","JV399","trial_1",1.945
"184","LB","JV400","trial_1",1.654
"185","LB","JV401","trial_1",1.577
"186","LB","JV402","trial_1",1.961
"187","LB","JV403","trial_1",0.661
"188","LB","JV404","trial_1",1.984
"189","LB","JV405","trial_1",1.485
"190","LB","JV406","trial_1",1.712
"191","LB","JV407","trial_1",1.593
"192","LB","JV408","trial_1",1.946
"193","LB","JV409","trial_1",1.88
"194","LB","JV410","trial_1",0.684
"195","LB","JV411","trial_1",0.576
"196","LB","JV412","trial_1",1.511
"197","LB","JV413","trial_1",1.482
"198","LB","JV414","trial_1",1.418
"199","LB","KPPR1","trial_1",0.742
"200","LB","KPPR1","trial_1",0.727
"201","LB","KPPR1","trial_1",1.602
"202","LB","KPPR1","trial_1",1.659
"203","LB","KPPR1","trial_1",1.459
"204","LB","KPPR1","trial_1",1.746
"205","LB","KPPR1","trial_1",1.527
"206","LB","KPPR1","trial_1",0.818
"207","LB","KPPR1","trial_1",1.119
"208","LB","KPPR1","trial_1",1.166
"209","LB","KPPR1","trial_1",1.642
"210","LB","KPPR1","trial_1",1.387
"211","LB","KPPR1","trial_1",0.733
"212","LB","KPPR1","trial_1",1.488
"213","LB","KPPR1","trial_1",1.234
"214","pa14_spent","JV74","trial_1",0.02
"215","pa14_spent","JV75","trial_1",0.026
"216","pa14_spent","JV76","trial_1",0.017
"217","pa14_spent","JV77","trial_1",0.033
"218","pa14_spent","JV79","trial_1",0.026
"219","pa14_spent","JV78","trial_1",0.053
"220","pa14_spent","JV80","trial_1",0.035
"221","pa14_spent","JV81","trial_1",0.03
"222","pa14_spent","JV82","trial_1",0.03
"223","pa14_spent","JV83","trial_1",0.086
"224","pa14_spent","JV84","trial_1",0.066
"225","pa14_spent","JV85","trial_1",0.103
"226","pa14_spent","JV86","trial_1",0.032
"227","pa14_spent","JV87","trial_1",0.01
"228","pa14_spent","JV88","trial_1",0.029
"229","pa14_spent","JV89","trial_1",0.017
"230","pa14_spent","JV90","trial_1",0.024
"231","pa14_spent","JV91","trial_1",0.019
"232","pa14_spent","JV92","trial_1",0.008
"233","pa14_spent","JV93","trial_1",0.014
"234","pa14_spent","JV94","trial_1",0.014
"235","pa14_spent","JV95","trial_1",0.013
"236","pa14_spent","JV96","trial_1",0.026
"237","pa14_spent","JV97","trial_1",0.033
"238","pa14_spent","JV98","trial_1",0.018
"239","pa14_spent","JV99","trial_1",0.03
"240","pa14_spent","JV100","trial_1",0.026
"241","pa14_spent","JV101","trial_1",0.006
"242","pa14_spent","JV102","trial_1",0.03
"243","pa14_spent","JV103","trial_1",0.037
"244","pa14_spent","JV104","trial_1",0.035
"245","pa14_spent","JV105","trial_1",0.038
"246","pa14_spent","JV106","trial_1",0.049
"247","pa14_spent","JV107","trial_1",0.027
"248","pa14_spent","JV109","trial_1",0.031
"249","pa14_spent","JV110","trial_1",0.047
"250","pa14_spent","JV111","trial_1",0.059
"251","pa14_spent","JV112","trial_1",0.043
"252","pa14_spent","JV113","trial_1",0.043
"253","pa14_spent","JV114","trial_1",0.034
"254","pa14_spent","JV115","trial_1",0.012
"255","pa14_spent","JV116","trial_1",0.032
"256","pa14_spent","JV117","trial_1",0.092
"257","pa14_spent","JV118","trial_1",0.047
"258","pa14_spent","JV119","trial_1",0.035
"259","pa14_spent","JV120","trial_1",0.064
"260","pa14_spent","JV121","trial_1",0.042
"261","pa14_spent","JV122","trial_1",0.017
"262","pa14_spent","JV123","trial_1",0.039
"263","pa14_spent","JV124","trial_1",0.042
"264","pa14_spent","JV125","trial_1",0.086
"265","pa14_spent","JV126","trial_1",0.043
"266","pa14_spent","JV127","trial_1",0.041
"267","pa14_spent","JV128","trial_1",0.043
"268","pa14_spent","JV129","trial_1",0
"269","pa14_spent","JV130","trial_1",0.04
"270","pa14_spent","JV131","trial_1",0.022
"271","pa14_spent","JV132","trial_1",0.059
"272","pa14_spent","JV133","trial_1",0.032
"273","pa14_spent","JV134","trial_1",0.02
"274","pa14_spent","JV135","trial_1",0.024
"275","pa14_spent","JV136","trial_1",0.016
"276","pa14_spent","JV137","trial_1",0.064
"277","pa14_spent","JV138","trial_1",0.063
"278","pa14_spent","JV139","trial_1",0.051
"279","pa14_spent","JV140","trial_1",0.04
"280","pa14_spent","JV141","trial_1",0.036
"281","pa14_spent","JV142","trial_1",0.053
"282","pa14_spent","JV143","trial_1",0.003
"283","pa14_spent","JV144","trial_1",0.198
"284","pa14_spent","JV145","trial_1",0.109
"285","pa14_spent","JV146","trial_1",0.064
"286","pa14_spent","JV147","trial_1",0.07
"287","pa14_spent","JV148","trial_1",0.035
"288","pa14_spent","JV149","trial_1",0.02
"289","pa14_spent","JV150","trial_1",0.024
"290","pa14_spent","JV151","trial_1",0.077
"291","pa14_spent","JV152","trial_1",0.062
"292","pa14_spent","JV153","trial_1",0.178
"293","pa14_spent","JV154","trial_1",0.028
"294","pa14_spent","JV155","trial_1",0.012
"295","pa14_spent","JV156","trial_1",0.071
"296","pa14_spent","JV157","trial_1",0
"297","pa14_spent","JV158","trial_1",0.018
"298","pa14_spent","JV159","trial_1",0.074
"299","pa14_spent","JV160","trial_1",0.024
"300","pa14_spent","JV161","trial_1",0.031
"301","pa14_spent","JV162","trial_1",0.048
"302","pa14_spent","JV163","trial_1",0.052
"303","pa14_spent","JV164","trial_1",0.054
"304","pa14_spent","JV165","trial_1",0.029
"305","pa14_spent","JV166","trial_1",0.044
"306","pa14_spent","JV167","trial_1",0.036
"307","pa14_spent","JV168","trial_1",0.063
"308","pa14_spent","JV169","trial_1",0.06
"309","pa14_spent","JV170","trial_1",0.068
"310","pa14_spent","JV171","trial_1",0.045
"311","pa14_spent","JV172","trial_1",0.028
"312","pa14_spent","JV173","trial_1",0.013
"313","pa14_spent","JV174","trial_1",0.006
"314","pa14_spent","JV175","trial_1",0.011
"315","pa14_spent","JV176","trial_1",0.005
"316","pa14_spent","JV177","trial_1",0.02
"317","pa14_spent","JV178","trial_1",0.024
"318","pa14_spent","JV179","trial_1",0.015
"319","pa14_spent","JV180","trial_1",0.02
"320","pa14_spent","JV181","trial_1",0.013
"321","pa14_spent","JV182","trial_1",0.024
"322","pa14_spent","JV183","trial_1",0.017
"323","pa14_spent","JV184","trial_1",0.002
"324","pa14_spent","JV185","trial_1",0.021
"325","pa14_spent","JV186","trial_1",0.038
"326","pa14_spent","JV187","trial_1",0.019
"327","pa14_spent","JV188","trial_1",0.02
"328","pa14_spent","JV189","trial_1",0.015
"329","pa14_spent","JV190","trial_1",0.03
"330","pa14_spent","JV191","trial_1",0.016
"331","pa14_spent","JV192","trial_1",0
"332","pa14_spent","JV205","trial_1",0.046
"333","pa14_spent","JV206","trial_1",0.066
"334","pa14_spent","JV207","trial_1",0.035
"335","pa14_spent","JV208","trial_1",0.036
"336","pa14_spent","JV209","trial_1",0.049
"337","pa14_spent","JV210","trial_1",0.035
"338","pa14_spent","JV211","trial_1",0
"339","pa14_spent","JV212","trial_1",0.057
"340","pa14_spent","JV213","trial_1",0.097
"341","pa14_spent","JV214","trial_1",0.046
"342","pa14_spent","JV215","trial_1",0.126
"343","pa14_spent","JV216","trial_1",0.063
"344","pa14_spent","JV217","trial_1",0.109
"345","pa14_spent","JV218","trial_1",0.054
"346","pa14_spent","JV219","trial_1",0.137
"347","pa14_spent","JV220","trial_1",0.132
"348","pa14_spent","JV221","trial_1",0.091
"349","pa14_spent","JV222","trial_1",0.067
"350","pa14_spent","JV223","trial_1",0.058
"351","pa14_spent","JV224","trial_1",0.037
"352","pa14_spent","JV225","trial_1",0.06
"353","pa14_spent","JV226","trial_1",0.154
"354","pa14_spent","JV227","trial_1",0.073
"355","pa14_spent","JV228","trial_1",0.045
"356","pa14_spent","JV231","trial_1",0.04
"357","pa14_spent","JV232","trial_1",0.031
"358","pa14_spent","JV233","trial_1",0.031
"359","pa14_spent","JV234","trial_1",0.004
"360","pa14_spent","JV235","trial_1",0.03
"361","pa14_spent","JV236","trial_1",0.044
"362","pa14_spent","JV237","trial_1",0.033
"363","pa14_spent","JV238","trial_1",0.029
"364","pa14_spent","JV239","trial_1",0.046
"365","pa14_spent","JV240","trial_1",0.041
"366","pa14_spent","JV241","trial_1",0.009
"367","pa14_spent","JV242","trial_1",0.062
"368","pa14_spent","JV243","trial_1",0.077
"369","pa14_spent","JV244","trial_1",0.09
"370","pa14_spent","JV245","trial_1",0.052
"371","pa14_spent","JV246","trial_1",0.055
"372","pa14_spent","JV247","trial_1",0.072
"373","pa14_spent","JV248","trial_1",0.028
"374","pa14_spent","JV249","trial_1",0.157
"375","pa14_spent","JV250","trial_1",0.09
"376","pa14_spent","JV251","trial_1",0.087
"377","pa14_spent","JV252","trial_1",0.06
"378","pa14_spent","JV253","trial_1",0.175
"379","pa14_spent","JV254","trial_1",0.052
"380","pa14_spent","JV255","trial_1",0.035
"381","pa14_spent","JV256","trial_1",0
"382","pa14_spent","JV278","trial_1",0
"383","pa14_spent","JV281","trial_1",0
"384","pa14_spent","JV284","trial_1",0.015
"385","pa14_spent","JV285","trial_1",0.014
"386","pa14_spent","JV286","trial_1",0.013
"387","pa14_spent","JV385","trial_1",0.008
"388","pa14_spent","JV386","trial_1",0.032
"389","pa14_spent","JV387","trial_1",0.009
"390","pa14_spent","JV388","trial_1",0.003
"391","pa14_spent","JV389","trial_1",0.008
"392","pa14_spent","JV390","trial_1",0.015
"393","pa14_spent","JV396","trial_1",0
"394","pa14_spent","JV397","trial_1",0
"395","pa14_spent","JV398","trial_1",0.029
"396","pa14_spent","JV399","trial_1",0.013
"397","pa14_spent","JV400","trial_1",0.01
"398","pa14_spent","JV401","trial_1",0
"399","pa14_spent","JV402","trial_1",0
"400","pa14_spent","JV403","trial_1",0
"401","pa14_spent","JV404","trial_1",0
"402","pa14_spent","JV405","trial_1",0
"403","pa14_spent","JV406","trial_1",0
"404","pa14_spent","JV407","trial_1",0
"405","pa14_spent","JV408","trial_1",0
"406","pa14_spent","JV409","trial_1",0
"407","pa14_spent","JV410","trial_1",0.023
"408","pa14_spent","JV411","trial_1",0
"409","pa14_spent","JV412","trial_1",0.083
"410","pa14_spent","JV413","trial_1",0.02
"411","pa14_spent","JV414","trial_1",0.211
"412","pa14_spent","KPPR1","trial_1",0.035
"413","pa14_spent","KPPR1","trial_1",0.029
"414","pa14_spent","KPPR1","trial_1",0.025
"415","pa14_spent","KPPR1","trial_1",0.013
"416","pa14_spent","KPPR1","trial_1",0.017
"417","pa14_spent","KPPR1","trial_1",0
"418","pa14_spent","KPPR1","trial_1",0.039
"419","pa14_spent","KPPR1","trial_1",0.013
"420","pa14_spent","KPPR1","trial_1",0.042
"421","pa14_spent","KPPR1","trial_1",0.061
"422","pa14_spent","KPPR1","trial_1",0
"423","pa14_spent","KPPR1","trial_1",0.012
"424","pa14_spent","KPPR1","trial_1",0
"425","pa14_spent","KPPR1","trial_1",0
"426","pa14_spent","KPPR1","trial_1",0.023
"427","LB","JV74","trial_2",1.54
"428","LB","JV75","trial_2",1.148
"429","LB","JV76","trial_2",0.514
"430","LB","JV77","trial_2",1.406
"431","LB","JV79","trial_2",1.846
"432","LB","JV78","trial_2",2.015
"433","LB","JV80","trial_2",1.913
"434","LB","JV81","trial_2",1.594
"435","LB","JV82","trial_2",0.762
"436","LB","JV83","trial_2",1.437
"437","LB","JV84","trial_2",1.516
"438","LB","JV85","trial_2",1.314
"439","LB","JV86","trial_2",0.805
"440","LB","JV87","trial_2",1.34
"441","LB","JV88","trial_2",1.493
"442","LB","JV89","trial_2",1.848
"443","LB","JV90","trial_2",2.039
"444","LB","JV91","trial_2",1.881
"445","LB","JV92","trial_2",1.963
"446","LB","JV93","trial_2",2.05
"447","LB","JV94","trial_2",1.902
"448","LB","JV95","trial_2",1.607
"449","LB","JV96","trial_2",2.085
"450","LB","JV97","trial_2",2.13
"451","LB","JV98","trial_2",2.053
"452","LB","JV99","trial_2",1.714
"453","LB","JV100","trial_2",1.598
"454","LB","JV101","trial_2",2.044
"455","LB","JV102","trial_2",1.675
"456","LB","JV103","trial_2",1.649
"457","LB","JV104","trial_2",1.893
"458","LB","JV105","trial_2",1.653
"459","LB","JV106","trial_2",1.99
"460","LB","JV107","trial_2",2.033
"461","LB","JV109","trial_2",1.636
"462","LB","JV110","trial_2",2.078
"463","LB","JV111","trial_2",2.01
"464","LB","JV112","trial_2",2.069
"465","LB","JV113","trial_2",2.054
"466","LB","JV114","trial_2",1.973
"467","LB","JV115","trial_2",1.571
"468","LB","JV116","trial_2",1.583
"469","LB","JV117","trial_2",1.933
"470","LB","JV118","trial_2",1.927
"471","LB","JV119","trial_2",1.911
"472","LB","JV120","trial_2",1.972
"473","LB","JV121","trial_2",1.97
"474","LB","JV122","trial_2",1.859
"475","LB","JV123","trial_2",2.005
"476","LB","JV124","trial_2",1.618
"477","LB","JV125","trial_2",1.623
"478","LB","JV126","trial_2",1.321
"479","LB","JV127","trial_2",1.583
"480","LB","JV128","trial_2",1.916
"481","LB","JV129","trial_2",1.893
"482","LB","JV130","trial_2",1.698
"483","LB","JV131","trial_2",1.631
"484","LB","JV132","trial_2",1.929
"485","LB","JV133","trial_2",1.461
"486","LB","JV134","trial_2",1.619
"487","LB","JV135","trial_2",1.582
"488","LB","JV136","trial_2",1.717
"489","LB","JV137","trial_2",1.545
"490","LB","JV138","trial_2",1.225
"491","LB","JV139","trial_2",1.521
"492","LB","JV140","trial_2",1.308
"493","LB","JV141","trial_2",1.542
"494","LB","JV142","trial_2",1.843
"495","LB","JV143","trial_2",1.841
"496","LB","JV144","trial_2",1.657
"497","LB","JV145","trial_2",2.011
"498","LB","JV146","trial_2",1.969
"499","LB","JV147","trial_2",1.65
"500","LB","JV148","trial_2",1.61
"501","LB","JV149","trial_2",1.795
"502","LB","JV150","trial_2",1.929
"503","LB","JV151","trial_2",1.674
"504","LB","JV152","trial_2",1.797
"505","LB","JV153","trial_2",1.721
"506","LB","JV154","trial_2",1.595
"507","LB","JV155","trial_2",1.695
"508","LB","JV156","trial_2",1.984
"509","LB","JV157","trial_2",1.687
"510","LB","JV172","trial_2",1.572
"511","LB","JV173","trial_2",1.665
"512","LB","JV174","trial_2",1.582
"513","LB","JV175","trial_2",1.971
"514","LB","JV176","trial_2",1.567
"515","LB","JV177","trial_2",1.688
"516","LB","JV178","trial_2",1.798
"517","LB","JV179","trial_2",1.609
"518","LB","JV180","trial_2",1.629
"519","LB","JV181","trial_2",1.664
"520","LB","JV182","trial_2",1.622
"521","LB","JV183","trial_2",1.604
"522","LB","JV184","trial_2",1.481
"523","LB","JV185","trial_2",1.571
"524","LB","JV186","trial_2",1.676
"525","LB","JV187","trial_2",1.596
"526","LB","JV188","trial_2",1.64
"527","LB","JV189","trial_2",1.625
"528","LB","JV190","trial_2",1.663
"529","LB","JV191","trial_2",1.652
"530","LB","JV192","trial_2",1.966
"531","LB","JV205","trial_2",1.673
"532","LB","JV206","trial_2",2.06
"533","LB","JV207","trial_2",1.869
"534","LB","JV208","trial_2",1.743
"535","LB","JV209","trial_2",1.308
"536","LB","JV210","trial_2",1.4
"537","LB","JV211","trial_2",1.663
"538","LB","JV212","trial_2",1.658
"539","LB","JV213","trial_2",1.897
"540","LB","JV214","trial_2",1.792
"541","LB","JV215","trial_2",1.852
"542","LB","JV216","trial_2",1.707
"543","LB","JV217","trial_2",2.025
"544","LB","JV218","trial_2",1.972
"545","LB","JV219","trial_2",1.605
"546","LB","JV220","trial_2",1.907
"547","LB","JV221","trial_2",1.921
"548","LB","JV222","trial_2",2.116
"549","LB","JV223","trial_2",1.896
"550","LB","JV224","trial_2",1.806
"551","LB","JV225","trial_2",1.981
"552","LB","JV226","trial_2",1.641
"553","LB","JV227","trial_2",1.643
"554","LB","JV228","trial_2",1.602
"555","LB","JV231","trial_2",1.696
"556","LB","JV232","trial_2",1.725
"557","LB","JV233","trial_2",1.635
"558","LB","JV234","trial_2",1.85
"559","LB","JV235","trial_2",1.592
"560","LB","JV236","trial_2",1.67
"561","LB","JV237","trial_2",2.025
"562","LB","JV238","trial_2",2.03
"563","LB","JV239","trial_2",2.059
"564","LB","JV240","trial_2",1.917
"565","LB","JV241","trial_2",1.864
"566","LB","JV242","trial_2",1.513
"567","LB","JV243","trial_2",1.638
"568","LB","JV244","trial_2",1.92
"569","LB","JV245","trial_2",1.718
"570","LB","JV246","trial_2",1.98
"571","LB","JV247","trial_2",1.747
"572","LB","JV248","trial_2",1.915
"573","LB","JV249","trial_2",1.656
"574","LB","JV250","trial_2",1.976
"575","LB","JV251","trial_2",2.046
"576","LB","JV252","trial_2",2.001
"577","LB","JV253","trial_2",1.908
"578","LB","JV254","trial_2",1.701
"579","LB","JV255","trial_2",1.578
"580","LB","JV256","trial_2",1.67
"581","LB","JV278","trial_2",2.076
"582","LB","JV281","trial_2",2.044
"583","LB","JV284","trial_2",1.978
"584","LB","JV285","trial_2",1.89
"585","LB","JV286","trial_2",1.791
"586","LB","JV385","trial_2",1.91
"587","LB","JV386","trial_2",2.023
"588","LB","JV387","trial_2",1.987
"589","LB","JV388","trial_2",2.027
"590","LB","JV389","trial_2",2.025
"591","LB","JV390","trial_2",1.904
"592","LB","JV396","trial_2",1.975
"593","LB","JV397","trial_2",1.954
"594","LB","JV398","trial_2",1.439
"595","LB","JV399","trial_2",1.695
"596","LB","JV400","trial_2",1.542
"597","LB","JV401","trial_2",1.986
"598","LB","JV402","trial_2",2.044
"599","LB","JV403","trial_2",1.887
"600","LB","JV404","trial_2",1.834
"601","LB","JV405","trial_2",2.064
"602","LB","JV406","trial_2",1.623
"603","LB","JV407","trial_2",1.847
"604","LB","JV408","trial_2",2.086
"605","LB","JV409","trial_2",1.928
"606","LB","JV410","trial_2",1.92
"607","LB","JV411","trial_2",1.516
"608","LB","KPPR1","trial_2",1.731
"609","LB","KPPR1","trial_2",1.742
"610","LB","KPPR1","trial_2",1.532
"611","LB","KPPR1","trial_2",1.603
"612","LB","KPPR1","trial_2",1.27
"613","LB","KPPR1","trial_2",1.402
"614","LB","KPPR1","trial_2",1.675
"615","LB","KPPR1","trial_2",1.492
"616","LB","KPPR1","trial_2",1.483
"617","LB","KPPR1","trial_2",1.489
"618","LB","KPPR1","trial_2",1.503
"619","LB","KPPR1","trial_2",1.398
"620","LB","KPPR1","trial_2",1.527
"621","pa14_spent","JV74","trial_2",0
"622","pa14_spent","JV75","trial_2",0
"623","pa14_spent","JV76","trial_2",0.001
"624","pa14_spent","JV77","trial_2",0
"625","pa14_spent","JV79","trial_2",0
"626","pa14_spent","JV78","trial_2",0
"627","pa14_spent","JV80","trial_2",0
"628","pa14_spent","JV81","trial_2",0
"629","pa14_spent","JV82","trial_2",0
"630","pa14_spent","JV83","trial_2",0.039
"631","pa14_spent","JV84","trial_2",0
"632","pa14_spent","JV85","trial_2",0
"633","pa14_spent","JV86","trial_2",0
"634","pa14_spent","JV87","trial_2",0
"635","pa14_spent","JV88","trial_2",0.026
"636","pa14_spent","JV89","trial_2",0.047
"637","pa14_spent","JV90","trial_2",0
"638","pa14_spent","JV91","trial_2",0.04
"639","pa14_spent","JV92","trial_2",0.028
"640","pa14_spent","JV93","trial_2",0
"641","pa14_spent","JV94","trial_2",0
"642","pa14_spent","JV95","trial_2",0.016
"643","pa14_spent","JV96","trial_2",0.038
"644","pa14_spent","JV97","trial_2",0.035
"645","pa14_spent","JV98","trial_2",0.035
"646","pa14_spent","JV99","trial_2",0
"647","pa14_spent","JV100","trial_2",0.009
"648","pa14_spent","JV101","trial_2",0
"649","pa14_spent","JV102","trial_2",0
"650","pa14_spent","JV103","trial_2",0
"651","pa14_spent","JV104","trial_2",0.013
"652","pa14_spent","JV105","trial_2",0.044
"653","pa14_spent","JV106","trial_2",0
"654","pa14_spent","JV107","trial_2",0
"655","pa14_spent","JV109","trial_2",0
"656","pa14_spent","JV110","trial_2",0
"657","pa14_spent","JV111","trial_2",0.004
"658","pa14_spent","JV112","trial_2",0.014
"659","pa14_spent","JV113","trial_2",0
"660","pa14_spent","JV114","trial_2",0
"661","pa14_spent","JV115","trial_2",0
"662","pa14_spent","JV116","trial_2",0
"663","pa14_spent","JV117","trial_2",0.03
"664","pa14_spent","JV118","trial_2",0.07
"665","pa14_spent","JV119","trial_2",0
"666","pa14_spent","JV120","trial_2",0.063
"667","pa14_spent","JV121","trial_2",0
"668","pa14_spent","JV122","trial_2",0
"669","pa14_spent","JV123","trial_2",0
"670","pa14_spent","JV124","trial_2",0
"671","pa14_spent","JV125","trial_2",0
"672","pa14_spent","JV126","trial_2",0.016
"673","pa14_spent","JV127","trial_2",0.022
"674","pa14_spent","JV128","trial_2",0
"675","pa14_spent","JV129","trial_2",0
"676","pa14_spent","JV130","trial_2",0
"677","pa14_spent","JV131","trial_2",0
"678","pa14_spent","JV132","trial_2",0.006
"679","pa14_spent","JV133","trial_2",0
