"","strain","condition","OD","absorbance","trial","sum_absorb","mean_absorb","mean_sum_absorb"
"59","JV196","Clinical isolate","OD500",0.046,"trial_1",0.068,0.059,0.0875
"60","JV197","Clinical isolate","OD500",0.062,"trial_1",0.09,0.0755,0.1115
"61","JV198","Clinical isolate","OD500",0.055,"trial_1",0.081,0.0645,0.097
"62","JV199","Clinical isolate","OD500",0.061,"trial_1",0.088,0.0645,0.094
"63","JV200","Clinical isolate","OD500",0.037,"trial_1",0.055,0.057,0.086
"64","JV201","Clinical isolate","OD500",0.079,"trial_1",0.132,0.0845,0.1425
"65","JV202","Clinical isolate","OD500",0.024,"trial_1",0.032,0.0325,0.0445
"66","JV203","Clinical isolate","OD500",0.139,"trial_1",0.213,0.1565,0.246
"67","JV204","Clinical isolate","OD500",0.051,"trial_1",0.083,0.0615,0.102
"68","JV257","Clinical isolate","OD500",0.134,"trial_1",0.212,0.1335,0.2175
"69","JV258","Clinical isolate","OD500",0.019,"trial_1",0.028,0.0225,0.0325
"70","JV259","Clinical isolate","OD500",0.056,"trial_1",0.083,0.074,0.1145
"71","JV260","Clinical isolate","OD500",0.023,"trial_1",0.03,0.02,0.0255
"72","JV261","Clinical isolate","OD500",0.106,"trial_1",0.179,0.0725,0.1255
"73","JV262","Clinical isolate","OD500",0.089,"trial_1",0.132,0.07,0.1045
"74","JV263","Clinical isolate","OD500",0.124,"trial_1",0.184,0.08,0.118
"75","JV264","Clinical isolate","OD500",0.079,"trial_1",0.131,0.0655,0.112
"76","JV265","Clinical isolate","OD500",0.058,"trial_1",0.143,0.0515,0.119
"77","JV266","Clinical isolate","OD500",0.084,"trial_1",0.131,0.0775,0.1205
"78","JV267","Clinical isolate","OD500",0.036,"trial_1",0.055,0.0405,0.063
"79","JV268","Clinical isolate","OD500",0.087,"trial_1",0.208,0.0755,0.182
"80","JV269","Clinical isolate","OD500",0.036,"trial_1",0.061,0.034,0.057
"81","JV270","Clinical isolate","OD500",0.047,"trial_1",0.066,0.0495,0.071
"82","JV271","Clinical isolate","OD500",0.067,"trial_1",0.101,0.0645,0.106
"83","JV272","Clinical isolate","OD500",0.014,"trial_1",0.019,0.0235,0.0335
"84","JV273","Clinical isolate","OD500",0.313,"trial_1",0.354,0.4075,0.472
"85","JV274","Clinical isolate","OD500",0.058,"trial_1",0.089,0.0815,0.129
"86","JV275","Clinical isolate","OD500",0.066,"trial_1",0.101,0.0675,0.1055
"87","JV276","Clinical isolate","OD500",0.125,"trial_1",0.19,0.1095,0.1685
"88","JV287","Clinical isolate","OD500",0.06,"trial_1",0.1,0.062,0.102
"89","JV288","Clinical isolate","OD500",0.055,"trial_1",0.086,0.0605,0.0955
"90","JV289","Clinical isolate","OD500",0.045,"trial_1",0.077,0.051,0.091
"91","JV290","Clinical isolate","OD500",0.058,"trial_1",0.097,0.077,0.125
"92","JV291","Clinical isolate","OD500",0.016,"trial_1",0.022,0.0215,0.031
"93","JV292","Clinical isolate","OD500",0.01,"trial_1",0.016,0.012,0.021
"94","JV294","Clinical isolate","OD500",0.092,"trial_1",0.152,0.0835,0.1345
"95","JV296","Clinical isolate","OD500",0.026,"trial_1",0.038,0.021,0.0305
"96","JV297","Clinical isolate","OD500",0.012,"trial_1",0.015,0.0185,0.0245
"97","JV298","Clinical isolate","OD500",0.083,"trial_1",0.114,0.073,0.103
"98","Pa14","Pa14","OD500",0.062,"trial_1",0.114,0.0793333333333333,0.145333333333333
"99","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD500",0.057,"trial_1",0.081,0.07,0.102666666666667
"100","MG1655pPhzA-GS*M","MG1655pPhzA-GS*M","OD500",0.328,"trial_1",0.371,0.314,0.3545
"101","MG1655pPhzA-GSM","MG1655pPhzA-GSM","OD500",0.009,"trial_1",0.042,0.008,0.04
"102","JV15","Clinical isolate","OD695",0.013,"trial_1",0.037,0.022,0.0645
"103","JV16","Clinical isolate","OD695",0.034,"trial_1",0.077,0.0395,0.0925
"104","JV17","Clinical isolate","OD695",0.051,"trial_1",0.125,0.046,0.1115
"105","JV18","Clinical isolate","OD695",0.024,"trial_1",0.059,0.0285,0.0795
"106","JV19","Clinical isolate","OD695",0.012,"trial_1",0.026,0.0135,0.032
"107","JV20","Clinical isolate","OD695",0.025,"trial_1",0.071,0.031,0.084
"108","JV21","Clinical isolate","OD695",0.03,"trial_1",0.087,0.0365,0.108
"109","JV22","Clinical isolate","OD695",0.025,"trial_1",0.071,0.0335,0.0985
"110","JV23","Clinical isolate","OD695",0.014,"trial_1",0.041,0.018,0.055
"111","JV24","Clinical isolate","OD695",0.085,"trial_1",0.168,0.0875,0.181
"112","JV26","Clinical isolate","OD695",0.051,"trial_1",0.147,0.0325,0.093
"113","JV27","Clinical isolate","OD695",0.022,"trial_1",0.07,0.032,0.0945
"114","JV28","Clinical isolate","OD695",0.034,"trial_1",0.099,0.047,0.1275
"115","JV29","Clinical isolate","OD695",0.054,"trial_1",0.132,0.075,0.178
"116","JV30","Clinical isolate","OD695",0.035,"trial_1",0.093,0.0295,0.07
"117","JV31","Clinical isolate","OD695",0.049,"trial_1",0.127,0.0655,0.172
"118","JV32","Clinical isolate","OD695",0.043,"trial_1",0.107,0.0455,0.1185
"119","JV33","Clinical isolate","OD695",0.023,"trial_1",0.067,0.026,0.0775
"120","JV34","Clinical isolate","OD695",0.04,"trial_1",0.07,0.048,0.091
"121","JV35","Clinical isolate","OD695",0.077,"trial_1",0.15,0.086,0.159
"122","JV36","Clinical isolate","OD695",0.021,"trial_1",0.063,0.026,0.0775
"123","JV38","Clinical isolate","OD695",0.003,"trial_1",0.015,0.0055,0.025
"124","JV39","Clinical isolate","OD695",0.012,"trial_1",0.035,0.012,0.035
"125","JV40","Clinical isolate","OD695",0.072,"trial_1",0.163,0.0835,0.1775
"126","JV41","Clinical isolate","OD695",0.016,"trial_1",0.051,0.0215,0.0655
"127","JV42","Clinical isolate","OD695",0.039,"trial_1",0.116,0.0425,0.124
"128","JV43","Clinical isolate","OD695",0.054,"trial_1",0.145,0.052,0.139
"129","JV44","Clinical isolate","OD695",0.015,"trial_1",0.044,0.0175,0.049
"130","JV45","Clinical isolate","OD695",0.025,"trial_1",0.066,0.026,0.0705
"131","JV46","Clinical isolate","OD695",0.054,"trial_1",0.121,0.0645,0.1345
"132","JV47","Clinical isolate","OD695",0,"trial_1",0.001,5e-04,0.001
"133","JV48","Clinical isolate","OD695",0.056,"trial_1",0.142,0.0535,0.131
"134","JV49","Clinical isolate","OD695",0.061,"trial_1",0.16,0.0725,0.179
"135","JV50","Clinical isolate","OD695",0.03,"trial_1",0.087,0.0275,0.08
"136","JV51","Clinical isolate","OD695",0.027,"trial_1",0.078,0.026,0.071
"137","JV52","Clinical isolate","OD695",0.018,"trial_1",0.053,0.028,0.074
"138","JV53","Clinical isolate","OD695",0.041,"trial_1",0.104,0.048,0.1125
"139","JV55","Clinical isolate","OD695",0.066,"trial_1",0.172,0.064,0.153
"140","JV56","Clinical isolate","OD695",0.011,"trial_1",0.038,0.0105,0.0375
"141","JV57","Clinical isolate","OD695",0.036,"trial_1",0.092,0.042,0.1025
"142","JV58","Clinical isolate","OD695",0.019,"trial_1",0.055,0.0225,0.0645
"143","JV59","Clinical isolate","OD695",0.04,"trial_1",0.125,0.046,0.1365
"144","JV60","Clinical isolate","OD695",0.06,"trial_1",0.155,0.069,0.1685
"145","JV61","Clinical isolate","OD695",0.044,"trial_1",0.118,0.0485,0.126
"146","JV62","Clinical isolate","OD695",0.079,"trial_1",0.188,0.0785,0.1725
"147","JV63","Clinical isolate","OD695",0.025,"trial_1",0.091,0.0325,0.102
"148","JV64","Clinical isolate","OD695",0.028,"trial_1",0.084,0.0345,0.1025
"149","JV65","Clinical isolate","OD695",0.046,"trial_1",0.118,0.0475,0.1205
"150","JV66","Clinical isolate","OD695",0.049,"trial_1",0.137,0.0515,0.139
"151","JV67","Clinical isolate","OD695",0.036,"trial_1",0.102,0.0415,0.1055
"152","JV68","Clinical isolate","OD695",0.047,"trial_1",0.094,0.058,0.1165
"153","JV69","Clinical isolate","OD695",0.057,"trial_1",0.163,0.052,0.141
"154","JV70","Clinical isolate","OD695",0.021,"trial_1",0.065,0.0175,0.052
"155","JV71","Clinical isolate","OD695",0.069,"trial_1",0.139,0.0815,0.1575
"156","JV73","Clinical isolate","OD695",0.048,"trial_1",0.138,0.0505,0.142
"157","JV193","Clinical isolate","OD695",0.019,"trial_1",0.056,0.051,0.143
"158","JV194","Clinical isolate","OD695",0.047,"trial_1",0.131,0.048,0.132
"159","JV195","Clinical isolate","OD695",0.085,"trial_1",0.231,0.085,0.2215
"160","JV196","Clinical isolate","OD695",0.022,"trial_1",0.068,0.0285,0.0875
"161","JV197","Clinical isolate","OD695",0.028,"trial_1",0.09,0.036,0.1115
"162","JV198","Clinical isolate","OD695",0.026,"trial_1",0.081,0.0325,0.097
"163","JV199","Clinical isolate","OD695",0.027,"trial_1",0.088,0.0295,0.094
"164","JV200","Clinical isolate","OD695",0.018,"trial_1",0.055,0.029,0.086
"165","JV201","Clinical isolate","OD695",0.053,"trial_1",0.132,0.058,0.1425
"166","JV202","Clinical isolate","OD695",0.008,"trial_1",0.032,0.012,0.0445
"167","JV203","Clinical isolate","OD695",0.074,"trial_1",0.213,0.0895,0.246
"168","JV204","Clinical isolate","OD695",0.032,"trial_1",0.083,0.0405,0.102
"169","JV257","Clinical isolate","OD695",0.078,"trial_1",0.212,0.084,0.2175
"170","JV258","Clinical isolate","OD695",0.009,"trial_1",0.028,0.01,0.0325
"171","JV259","Clinical isolate","OD695",0.027,"trial_1",0.083,0.0405,0.1145
"172","JV260","Clinical isolate","OD695",0.007,"trial_1",0.03,0.0055,0.0255
"173","JV261","Clinical isolate","OD695",0.073,"trial_1",0.179,0.053,0.1255
"174","JV262","Clinical isolate","OD695",0.043,"trial_1",0.132,0.0345,0.1045
"175","JV263","Clinical isolate","OD695",0.06,"trial_1",0.184,0.038,0.118
"176","JV264","Clinical isolate","OD695",0.052,"trial_1",0.131,0.0465,0.112
"177","JV265","Clinical isolate","OD695",0.085,"trial_1",0.143,0.0675,0.119
"178","JV266","Clinical isolate","OD695",0.047,"trial_1",0.131,0.043,0.1205
"179","JV267","Clinical isolate","OD695",0.019,"trial_1",0.055,0.0225,0.063
"180","JV268","Clinical isolate","OD695",0.121,"trial_1",0.208,0.1065,0.182
"181","JV269","Clinical isolate","OD695",0.025,"trial_1",0.061,0.023,0.057
"182","JV270","Clinical isolate","OD695",0.019,"trial_1",0.066,0.0215,0.071
"183","JV271","Clinical isolate","OD695",0.034,"trial_1",0.101,0.0415,0.106
"184","JV272","Clinical isolate","OD695",0.005,"trial_1",0.019,0.01,0.0335
"185","JV273","Clinical isolate","OD695",0.041,"trial_1",0.354,0.0645,0.472
"186","JV274","Clinical isolate","OD695",0.031,"trial_1",0.089,0.0475,0.129
"187","JV275","Clinical isolate","OD695",0.035,"trial_1",0.101,0.038,0.1055
"188","JV276","Clinical isolate","OD695",0.065,"trial_1",0.19,0.059,0.1685
"189","JV287","Clinical isolate","OD695",0.04,"trial_1",0.1,0.04,0.102
"190","JV288","Clinical isolate","OD695",0.031,"trial_1",0.086,0.035,0.0955
"191","JV289","Clinical isolate","OD695",0.032,"trial_1",0.077,0.04,0.091
"192","JV290","Clinical isolate","OD695",0.039,"trial_1",0.097,0.048,0.125
"193","JV291","Clinical isolate","OD695",0.006,"trial_1",0.022,0.0095,0.031
"194","JV292","Clinical isolate","OD695",0.006,"trial_1",0.016,0.009,0.021
"195","JV294","Clinical isolate","OD695",0.06,"trial_1",0.152,0.051,0.1345
"196","JV296","Clinical isolate","OD695",0.012,"trial_1",0.038,0.0095,0.0305
"197","JV297","Clinical isolate","OD695",0.003,"trial_1",0.015,0.006,0.0245
"198","JV298","Clinical isolate","OD695",0.031,"trial_1",0.114,0.03,0.103
"199","Pa14","Pa14","OD695",0.052,"trial_1",0.114,0.066,0.145333333333333
"200","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD695",0.024,"trial_1",0.081,0.0326666666666667,0.102666666666667
"201","MG1655pPhzA-GS*M","MG1655pPhzA-GS*M","OD695",0.043,"trial_1",0.371,0.0405,0.3545
"202","MG1655pPhzA-GSM","MG1655pPhzA-GSM","OD695",0.033,"trial_1",0.042,0.032,0.04
"203","JV15","Clinical isolate","OD500",0.061,"trial_2",0.092,0.0425,0.0645
"204","JV16","Clinical isolate","OD500",0.063,"trial_2",0.108,0.053,0.0925
"205","JV17","Clinical isolate","OD500",0.057,"trial_2",0.098,0.0655,0.1115
"206","JV18","Clinical isolate","OD500",0.067,"trial_2",0.1,0.051,0.0795
"207","JV19","Clinical isolate","OD500",0.023,"trial_2",0.038,0.0185,0.032
"208","JV20","Clinical isolate","OD500",0.06,"trial_2",0.097,0.053,0.084
"209","JV21","Clinical isolate","OD500",0.086,"trial_2",0.129,0.0715,0.108
"210","JV22","Clinical isolate","OD500",0.084,"trial_2",0.126,0.065,0.0985
"211","JV23","Clinical isolate","OD500",0.047,"trial_2",0.069,0.037,0.055
"212","JV24","Clinical isolate","OD500",0.104,"trial_2",0.194,0.0935,0.181
"213","JV26","Clinical isolate","OD500",0.025,"trial_2",0.039,0.0605,0.093
"214","JV27","Clinical isolate","OD500",0.077,"trial_2",0.119,0.0625,0.0945
"215","JV28","Clinical isolate","OD500",0.096,"trial_2",0.156,0.0805,0.1275
"216","JV29","Clinical isolate","OD500",0.128,"trial_2",0.224,0.103,0.178
"217","JV30","Clinical isolate","OD500",0.023,"trial_2",0.047,0.0405,0.07
"218","JV31","Clinical isolate","OD500",0.135,"trial_2",0.217,0.1065,0.172
"219","JV32","Clinical isolate","OD500",0.082,"trial_2",0.13,0.073,0.1185
"220","JV33","Clinical isolate","OD500",0.059,"trial_2",0.088,0.0515,0.0775
"221","JV34","Clinical isolate","OD500",0.056,"trial_2",0.112,0.043,0.091
"222","JV35","Clinical isolate","OD500",0.073,"trial_2",0.168,0.073,0.159
"223","JV36","Clinical isolate","OD500",0.061,"trial_2",0.092,0.0515,0.0775
"224","JV38","Clinical isolate","OD500",0.027,"trial_2",0.035,0.0195,0.025
"225","JV39","Clinical isolate","OD500",0.023,"trial_2",0.035,0.023,0.035
"226","JV40","Clinical isolate","OD500",0.097,"trial_2",0.192,0.094,0.1775
"227","JV41","Clinical isolate","OD500",0.053,"trial_2",0.08,0.044,0.0655
"228","JV42","Clinical isolate","OD500",0.086,"trial_2",0.132,0.0815,0.124
"229","JV43","Clinical isolate","OD500",0.083,"trial_2",0.133,0.087,0.139
"230","JV44","Clinical isolate","OD500",0.034,"trial_2",0.054,0.0315,0.049
"231","JV45","Clinical isolate","OD500",0.048,"trial_2",0.075,0.0445,0.0705
"232","JV46","Clinical isolate","OD500",0.073,"trial_2",0.148,0.07,0.1345
"233","JV47","Clinical isolate","OD500",0,"trial_2",0.001,5e-04,0.001
"234","JV48","Clinical isolate","OD500",0.069,"trial_2",0.12,0.0775,0.131
"235","JV49","Clinical isolate","OD500",0.114,"trial_2",0.198,0.1065,0.179
"236","JV50","Clinical isolate","OD500",0.048,"trial_2",0.073,0.0525,0.08
"237","JV51","Clinical isolate","OD500",0.039,"trial_2",0.064,0.045,0.071
"238","JV52","Clinical isolate","OD500",0.057,"trial_2",0.095,0.046,0.074
"239","JV53","Clinical isolate","OD500",0.066,"trial_2",0.121,0.0645,0.1125
"240","JV55","Clinical isolate","OD500",0.072,"trial_2",0.134,0.089,0.153
"241","JV56","Clinical isolate","OD500",0.027,"trial_2",0.037,0.027,0.0375
"242","JV57","Clinical isolate","OD500",0.065,"trial_2",0.113,0.0605,0.1025
"243","JV58","Clinical isolate","OD500",0.048,"trial_2",0.074,0.042,0.0645
"244","JV59","Clinical isolate","OD500",0.096,"trial_2",0.148,0.0905,0.1365
"245","JV60","Clinical isolate","OD500",0.104,"trial_2",0.182,0.0995,0.1685
"246","JV61","Clinical isolate","OD500",0.081,"trial_2",0.134,0.0775,0.126
"247","JV62","Clinical isolate","OD500",0.079,"trial_2",0.157,0.094,0.1725
"248","JV63","Clinical isolate","OD500",0.073,"trial_2",0.113,0.0695,0.102
"249","JV64","Clinical isolate","OD500",0.08,"trial_2",0.121,0.068,0.1025
"250","JV65","Clinical isolate","OD500",0.074,"trial_2",0.123,0.073,0.1205
"251","JV66","Clinical isolate","OD500",0.087,"trial_2",0.141,0.0875,0.139
"252","JV67","Clinical isolate","OD500",0.062,"trial_2",0.109,0.064,0.1055
"253","JV68","Clinical isolate","OD500",0.07,"trial_2",0.139,0.0585,0.1165
"254","JV69","Clinical isolate","OD500",0.072,"trial_2",0.119,0.089,0.141
"255","JV70","Clinical isolate","OD500",0.025,"trial_2",0.039,0.0345,0.052
"256","JV71","Clinical isolate","OD500",0.082,"trial_2",0.176,0.076,0.1575
"257","JV73","Clinical isolate","OD500",0.093,"trial_2",0.146,0.0915,0.142
"258","JV193","Clinical isolate","OD500",0.147,"trial_2",0.23,0.092,0.143
"259","JV194","Clinical isolate","OD500",0.084,"trial_2",0.133,0.084,0.132
"260","JV195","Clinical isolate","OD500",0.127,"trial_2",0.212,0.1365,0.2215
"261","JV196","Clinical isolate","OD500",0.072,"trial_2",0.107,0.059,0.0875
"262","JV197","Clinical isolate","OD500",0.089,"trial_2",0.133,0.0755,0.1115
"263","JV198","Clinical isolate","OD500",0.074,"trial_2",0.113,0.0645,0.097
"264","JV199","Clinical isolate","OD500",0.068,"trial_2",0.1,0.0645,0.094
"265","JV200","Clinical isolate","OD500",0.077,"trial_2",0.117,0.057,0.086
"266","JV201","Clinical isolate","OD500",0.09,"trial_2",0.153,0.0845,0.1425
"267","JV202","Clinical isolate","OD500",0.041,"trial_2",0.057,0.0325,0.0445
"268","JV203","Clinical isolate","OD500",0.174,"trial_2",0.279,0.1565,0.246
"269","JV204","Clinical isolate","OD500",0.072,"trial_2",0.121,0.0615,0.102
"270","JV257","Clinical isolate","OD500",0.133,"trial_2",0.223,0.1335,0.2175
"271","JV258","Clinical isolate","OD500",0.026,"trial_2",0.037,0.0225,0.0325
"272","JV259","Clinical isolate","OD500",0.092,"trial_2",0.146,0.074,0.1145
"273","JV260","Clinical isolate","OD500",0.017,"trial_2",0.021,0.02,0.0255
"274","JV261","Clinical isolate","OD500",0.039,"trial_2",0.072,0.0725,0.1255
"275","JV262","Clinical isolate","OD500",0.051,"trial_2",0.077,0.07,0.1045
"276","JV263","Clinical isolate","OD500",0.036,"trial_2",0.052,0.08,0.118
"277","JV264","Clinical isolate","OD500",0.052,"trial_2",0.093,0.0655,0.112
"278","JV265","Clinical isolate","OD500",0.045,"trial_2",0.095,0.0515,0.119
"279","JV266","Clinical isolate","OD500",0.071,"trial_2",0.11,0.0775,0.1205
"280","JV267","Clinical isolate","OD500",0.045,"trial_2",0.071,0.0405,0.063
"281","JV268","Clinical isolate","OD500",0.064,"trial_2",0.156,0.0755,0.182
"282","JV269","Clinical isolate","OD500",0.032,"trial_2",0.053,0.034,0.057
"283","JV270","Clinical isolate","OD500",0.052,"trial_2",0.076,0.0495,0.071
"284","JV271","Clinical isolate","OD500",0.062,"trial_2",0.111,0.0645,0.106
"285","JV272","Clinical isolate","OD500",0.033,"trial_2",0.048,0.0235,0.0335
"286","JV273","Clinical isolate","OD500",0.502,"trial_2",0.59,0.4075,0.472
"287","JV274","Clinical isolate","OD500",0.105,"trial_2",0.169,0.0815,0.129
"288","JV275","Clinical isolate","OD500",0.069,"trial_2",0.11,0.0675,0.1055
"289","JV276","Clinical isolate","OD500",0.094,"trial_2",0.147,0.1095,0.1685
"290","JV287","Clinical isolate","OD500",0.064,"trial_2",0.104,0.062,0.102
"291","JV288","Clinical isolate","OD500",0.066,"trial_2",0.105,0.0605,0.0955
"292","JV289","Clinical isolate","OD500",0.057,"trial_2",0.105,0.051,0.091
"293","JV290","Clinical isolate","OD500",0.096,"trial_2",0.153,0.077,0.125
"294","JV291","Clinical isolate","OD500",0.027,"trial_2",0.04,0.0215,0.031
"295","JV292","Clinical isolate","OD500",0.014,"trial_2",0.026,0.012,0.021
"296","JV294","Clinical isolate","OD500",0.075,"trial_2",0.117,0.0835,0.1345
"297","JV296","Clinical isolate","OD500",0.016,"trial_2",0.023,0.021,0.0305
"298","JV297","Clinical isolate","OD500",0.025,"trial_2",0.034,0.0185,0.0245
"299","JV298","Clinical isolate","OD500",0.063,"trial_2",0.092,0.073,0.103
"300","Pa14","Pa14","OD500",0.1,"trial_2",0.178,0.0793333333333333,0.145333333333333
"301","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD500",0.066,"trial_2",0.096,0.07,0.102666666666667
"302","MG1655pPhzA-GS*M","MG1655pPhzA-GS*M","OD500",0.3,"trial_2",0.338,0.314,0.3545
"303","MG1655pPhzA-GSM","MG1655pPhzA-GSM","OD500",0.007,"trial_2",0.038,0.008,0.04
"304","JV15","Clinical isolate","OD695",0.031,"trial_2",0.092,0.022,0.0645
"305","JV16","Clinical isolate","OD695",0.045,"trial_2",0.108,0.0395,0.0925
"306","JV17","Clinical isolate","OD695",0.041,"trial_2",0.098,0.046,0.1115
"307","JV18","Clinical isolate","OD695",0.033,"trial_2",0.1,0.0285,0.0795
"308","JV19","Clinical isolate","OD695",0.015,"trial_2",0.038,0.0135,0.032
"309","JV20","Clinical isolate","OD695",0.037,"trial_2",0.097,0.031,0.084
"310","JV21","Clinical isolate","OD695",0.043,"trial_2",0.129,0.0365,0.108
"311","JV22","Clinical isolate","OD695",0.042,"trial_2",0.126,0.0335,0.0985
"312","JV23","Clinical isolate","OD695",0.022,"trial_2",0.069,0.018,0.055
"313","JV24","Clinical isolate","OD695",0.09,"trial_2",0.194,0.0875,0.181
"314","JV26","Clinical isolate","OD695",0.014,"trial_2",0.039,0.0325,0.093
"315","JV27","Clinical isolate","OD695",0.042,"trial_2",0.119,0.032,0.0945
"316","JV28","Clinical isolate","OD695",0.06,"trial_2",0.156,0.047,0.1275
"317","JV29","Clinical isolate","OD695",0.096,"trial_2",0.224,0.075,0.178
"318","JV30","Clinical isolate","OD695",0.024,"trial_2",0.047,0.0295,0.07
"319","JV31","Clinical isolate","OD695",0.082,"trial_2",0.217,0.0655,0.172
"320","JV32","Clinical isolate","OD695",0.048,"trial_2",0.13,0.0455,0.1185
"321","JV33","Clinical isolate","OD695",0.029,"trial_2",0.088,0.026,0.0775
"322","JV34","Clinical isolate","OD695",0.056,"trial_2",0.112,0.048,0.091
"323","JV35","Clinical isolate","OD695",0.095,"trial_2",0.168,0.086,0.159
"324","JV36","Clinical isolate","OD695",0.031,"trial_2",0.092,0.026,0.0775
"325","JV38","Clinical isolate","OD695",0.008,"trial_2",0.035,0.0055,0.025
