"","Time","strain","OD600","expt","trial","sugar","mean_OD600","sem_OD600"
"76",4.5,"JV5_NAG",0.063,"Mouse_Pa","trial_1","nag",0.0573333333333333,0.00425571511160123
"77",4.75,"JV1_NAG",1.496,"Mouse_Pa","trial_1","nag",1.52233333333333,0.0268348860834383
"78",4.75,"JV3_NAG",0.235,"Mouse_Pa","trial_1","nag",0.110666666666667,0.0628923242092741
"79",4.75,"JV4_NAG",0.072,"Mouse_Pa","trial_1","nag",0.062,0.00513160143944688
"80",4.75,"JV5_NAG",0.074,"Mouse_Pa","trial_1","nag",0.0616666666666667,0.0072188026092359
"81",5,"JV1_NAG",1.597,"Mouse_Pa","trial_1","nag",1.60466666666667,0.019151443229631
"82",5,"JV3_NAG",0.303,"Mouse_Pa","trial_1","nag",0.133,0.0853834488254798
"83",5,"JV4_NAG",0.081,"Mouse_Pa","trial_1","nag",0.0696666666666667,0.00611918658356194
"84",5,"JV5_NAG",0.084,"Mouse_Pa","trial_1","nag",0.073,0.00635085296108589
"85",5.25,"JV1_NAG",1.711,"Mouse_Pa","trial_1","nag",1.67833333333333,0.0166966397151576
"86",5.25,"JV3_NAG",0.357,"Mouse_Pa","trial_1","nag",0.165333333333333,0.0965614369772484
"87",5.25,"JV4_NAG",0.088,"Mouse_Pa","trial_1","nag",0.0796666666666667,0.00463081466314994
"88",5.25,"JV5_NAG",0.091,"Mouse_Pa","trial_1","nag",0.0843333333333333,0.00440958551844098
"89",5.5,"JV1_NAG",1.846,"Mouse_Pa","trial_1","nag",1.77533333333333,0.0363791759725869
"90",5.5,"JV3_NAG",0.407,"Mouse_Pa","trial_1","nag",0.239,0.0958610104960997
"91",5.5,"JV4_NAG",0.097,"Mouse_Pa","trial_1","nag",0.0916666666666667,0.00272845092395749
"92",5.5,"JV5_NAG",0.101,"Mouse_Pa","trial_1","nag",0.0946666666666667,0.00409606857581484
"93",5.75,"JV1_NAG",1.85,"Mouse_Pa","trial_1","nag",1.80833333333333,0.0248618404610582
"94",5.75,"JV3_NAG",0.363,"Mouse_Pa","trial_1","nag",0.287,0.0477214137817954
"95",5.75,"JV4_NAG",0.171,"Mouse_Pa","trial_1","nag",0.123,0.0240277617212535
"96",5.75,"JV5_NAG",0.143,"Mouse_Pa","trial_1","nag",0.112333333333333,0.0160138828659524
"97",6,"JV1_NAG",1.873,"Mouse_Pa","trial_1","nag",1.835,0.0253245598842968
"98",6,"JV3_NAG",0.411,"Mouse_Pa","trial_1","nag",0.324,0.0632376470150495
"99",6,"JV4_NAG",0.22,"Mouse_Pa","trial_1","nag",0.148666666666667,0.0357413548210535
"100",6,"JV5_NAG",0.209,"Mouse_Pa","trial_1","nag",0.142666666666667,0.0335277662708256
"101",6.25,"JV1_NAG",1.913,"Mouse_Pa","trial_1","nag",1.85466666666667,0.0308670986290869
"102",6.25,"JV3_NAG",0.44,"Mouse_Pa","trial_1","nag",0.384333333333333,0.0483609116723184
"103",6.25,"JV4_NAG",0.276,"Mouse_Pa","trial_1","nag",0.172333333333333,0.0523333333333333
"104",6.25,"JV5_NAG",0.247,"Mouse_Pa","trial_1","nag",0.172,0.0386910842443062
"105",6.5,"JV1_NAG",1.928,"Mouse_Pa","trial_1","nag",1.87066666666667,0.030904871963998
"106",6.5,"JV3_NAG",0.462,"Mouse_Pa","trial_1","nag",0.393666666666667,0.0492758674313412
"107",6.5,"JV4_NAG",0.311,"Mouse_Pa","trial_1","nag",0.195,0.0593745175418995
"108",6.5,"JV5_NAG",0.291,"Mouse_Pa","trial_1","nag",0.209,0.0449703606093317
"109",6.75,"JV1_NAG",1.963,"Mouse_Pa","trial_1","nag",1.88,0.0433166634603052
"110",6.75,"JV3_NAG",0.489,"Mouse_Pa","trial_1","nag",0.433,0.0423359579238894
"111",6.75,"JV4_NAG",0.318,"Mouse_Pa","trial_1","nag",0.206333333333333,0.0587206191308565
"112",6.75,"JV5_NAG",0.282,"Mouse_Pa","trial_1","nag",0.217666666666667,0.0324568089072916
"113",7,"JV1_NAG",1.956,"Mouse_Pa","trial_1","nag",1.877,0.0398036849215413
"114",7,"JV3_NAG",0.503,"Mouse_Pa","trial_1","nag",0.453333333333333,0.0405394184028884
"115",7,"JV4_NAG",0.334,"Mouse_Pa","trial_1","nag",0.213333333333333,0.0617773780962291
"116",7,"JV5_NAG",0.289,"Mouse_Pa","trial_1","nag",0.23,0.0300055550412475
"117",7.25,"JV1_NAG",1.988,"Mouse_Pa","trial_1","nag",1.90033333333333,0.0448565615168072
"118",7.25,"JV3_NAG",0.546,"Mouse_Pa","trial_1","nag",0.488333333333333,0.0386192237680206
"119",7.25,"JV4_NAG",0.326,"Mouse_Pa","trial_1","nag",0.231,0.0477528358669235
"120",7.25,"JV5_NAG",0.3,"Mouse_Pa","trial_1","nag",0.251666666666667,0.0242510022702385
"121",7.5,"JV1_NAG",2.018,"Mouse_Pa","trial_1","nag",1.916,0.0517300686255102
"122",7.5,"JV3_NAG",0.549,"Mouse_Pa","trial_1","nag",0.498333333333333,0.0273820703705505
"123",7.5,"JV4_NAG",0.334,"Mouse_Pa","trial_1","nag",0.245333333333333,0.0448714212438657
"124",7.5,"JV5_NAG",0.313,"Mouse_Pa","trial_1","nag",0.274666666666667,0.0228351580779386
"125",7.75,"JV1_NAG",2.073,"Mouse_Pa","trial_1","nag",1.948,0.0629841249839989
"126",7.75,"JV3_NAG",0.584,"Mouse_Pa","trial_1","nag",0.528333333333333,0.0345655576806997
"127",7.75,"JV4_NAG",0.369,"Mouse_Pa","trial_1","nag",0.270333333333333,0.0503002098515614
"128",7.75,"JV5_NAG",0.358,"Mouse_Pa","trial_1","nag",0.283666666666667,0.0373556480929517
"129",8,"JV1_NAG",2.128,"Mouse_Pa","trial_1","nag",1.98433333333333,0.0720424257719791
"130",8,"JV3_NAG",0.631,"Mouse_Pa","trial_1","nag",0.542333333333333,0.0482539578111935
"131",8,"JV4_NAG",0.376,"Mouse_Pa","trial_1","nag",0.293,0.045544849690534
"132",8,"JV5_NAG",0.258,"Mouse_Pa","trial_1","nag",0.249,0.011060440015358
"133",8.25,"JV1_NAG",2.175,"Mouse_Pa","trial_1","nag",2.01766666666667,0.0786687852822056
"134",8.25,"JV3_NAG",0.689,"Mouse_Pa","trial_1","nag",0.592666666666667,0.0575335650825769
"135",8.25,"JV4_NAG",0.281,"Mouse_Pa","trial_1","nag",0.285,0.0306648550189518
"136",8.25,"JV5_NAG",0.28,"Mouse_Pa","trial_1","nag",0.271666666666667,0.0120046287369127
"137",8.5,"JV1_NAG",2.209,"Mouse_Pa","trial_1","nag",2.04333333333333,0.0828338363499147
"138",8.5,"JV3_NAG",0.708,"Mouse_Pa","trial_1","nag",0.606333333333333,0.0536107369013998
"139",8.5,"JV4_NAG",0.307,"Mouse_Pa","trial_1","nag",0.296666666666667,0.043895076919602
"140",8.5,"JV5_NAG",0.321,"Mouse_Pa","trial_1","nag",0.312,0.0153948043183407
"141",8.75,"JV1_NAG",2.227,"Mouse_Pa","trial_1","nag",2.057,0.0850490054811538
"142",8.75,"JV3_NAG",0.761,"Mouse_Pa","trial_1","nag",0.652666666666667,0.07025746302786
"143",8.75,"JV4_NAG",0.333,"Mouse_Pa","trial_1","nag",0.328333333333333,0.055474718966791
"144",8.75,"JV5_NAG",0.315,"Mouse_Pa","trial_1","nag",0.294666666666667,0.019341952101872
"145",9,"JV1_NAG",2.248,"Mouse_Pa","trial_1","nag",2.07166666666667,0.0883031394937035
"146",9,"JV3_NAG",0.802,"Mouse_Pa","trial_1","nag",0.700666666666667,0.0681721676671972
"147",9,"JV4_NAG",0.332,"Mouse_Pa","trial_1","nag",0.351333333333333,0.0630986881356851
"148",9,"JV5_NAG",0.289,"Mouse_Pa","trial_1","nag",0.290666666666667,0.026859717877231
"149",9.25,"JV1_NAG",2.26,"Mouse_Pa","trial_1","nag",2.084,0.0881532756056177
"150",9.25,"JV3_NAG",0.818,"Mouse_Pa","trial_1","nag",0.721,0.0633166644731069
"151",9.25,"JV4_NAG",0.339,"Mouse_Pa","trial_1","nag",0.379333333333333,0.0740997825757794
"152",9.25,"JV5_NAG",0.32,"Mouse_Pa","trial_1","nag",0.275,0.0240069434400411
"153",9.5,"JV1_NAG",2.27,"Mouse_Pa","trial_1","nag",2.096,0.0870306459434454
"154",9.5,"JV3_NAG",0.845,"Mouse_Pa","trial_1","nag",0.754,0.0549939390599849
"155",9.5,"JV4_NAG",0.369,"Mouse_Pa","trial_1","nag",0.401666666666667,0.0841612209459387
"156",9.5,"JV5_NAG",0.355,"Mouse_Pa","trial_1","nag",0.296,0.0383709959908957
"157",9.75,"JV1_NAG",2.287,"Mouse_Pa","trial_1","nag",2.10933333333333,0.0889388054288515
"158",9.75,"JV3_NAG",0.926,"Mouse_Pa","trial_1","nag",0.811,0.0647327840690738
"159",9.75,"JV4_NAG",0.396,"Mouse_Pa","trial_1","nag",0.407666666666667,0.114752390437459
"160",9.75,"JV5_NAG",0.373,"Mouse_Pa","trial_1","nag",0.319333333333333,0.0426861934483635
"161",10,"JV1_NAG",2.295,"Mouse_Pa","trial_1","nag",2.12266666666667,0.0863796529539477
"162",10,"JV3_NAG",0.945,"Mouse_Pa","trial_1","nag",0.842666666666667,0.0653817847552189
"163",10,"JV4_NAG",0.44,"Mouse_Pa","trial_1","nag",0.437,0.123850716590579
"164",10,"JV5_NAG",0.41,"Mouse_Pa","trial_1","nag",0.319666666666667,0.0503399554142742
"165",10.25,"JV1_NAG",2.306,"Mouse_Pa","trial_1","nag",2.13333333333333,0.0866108794808391
"166",10.25,"JV3_NAG",0.983,"Mouse_Pa","trial_1","nag",0.878666666666667,0.0594820234281847
"167",10.25,"JV4_NAG",0.377,"Mouse_Pa","trial_1","nag",0.440666666666667,0.141892369225566
"168",10.25,"JV5_NAG",0.39,"Mouse_Pa","trial_1","nag",0.330666666666667,0.0398176398653216
"169",10.5,"JV1_NAG",2.314,"Mouse_Pa","trial_1","nag",2.14666666666667,0.0837164526508646
"170",10.5,"JV3_NAG",0.991,"Mouse_Pa","trial_1","nag",0.905666666666667,0.0490759049274127
"171",10.5,"JV4_NAG",0.398,"Mouse_Pa","trial_1","nag",0.454666666666667,0.153896429819249
"172",10.5,"JV5_NAG",0.374,"Mouse_Pa","trial_1","nag",0.352333333333333,0.0343721463461979
"173",10.75,"JV1_NAG",2.323,"Mouse_Pa","trial_1","nag",2.15233333333333,0.0855284228260472
"174",10.75,"JV3_NAG",1.012,"Mouse_Pa","trial_1","nag",0.932,0.0517976833458795
"175",10.75,"JV4_NAG",0.383,"Mouse_Pa","trial_1","nag",0.479333333333333,0.168957917179923
"176",10.75,"JV5_NAG",0.376,"Mouse_Pa","trial_1","nag",0.345666666666667,0.0318451112592045
"177",11,"JV1_NAG",2.332,"Mouse_Pa","trial_1","nag",2.16733333333333,0.0824324639393431
"178",11,"JV3_NAG",1.031,"Mouse_Pa","trial_1","nag",0.952,0.0567186036499489
"179",11,"JV4_NAG",0.398,"Mouse_Pa","trial_1","nag",0.497666666666667,0.182174214543235
"180",11,"JV5_NAG",0.378,"Mouse_Pa","trial_1","nag",0.347333333333333,0.0432255068731929
"181",11.25,"JV1_NAG",2.343,"Mouse_Pa","trial_1","nag",2.17833333333333,0.0823657156292052
"182",11.25,"JV3_NAG",1.063,"Mouse_Pa","trial_1","nag",0.978333333333333,0.0601451946912174
"183",11.25,"JV4_NAG",0.412,"Mouse_Pa","trial_1","nag",0.521,0.188473694008828
"184",11.25,"JV5_NAG",0.396,"Mouse_Pa","trial_1","nag",0.352333333333333,0.0324157026420496
"185",11.5,"JV1_NAG",2.351,"Mouse_Pa","trial_1","nag",2.18533333333333,0.0831992254237448
"186",11.5,"JV3_NAG",1.08,"Mouse_Pa","trial_1","nag",1,0.0564535207050898
"187",11.5,"JV4_NAG",0.405,"Mouse_Pa","trial_1","nag",0.522333333333333,0.188348376980294
"188",11.5,"JV5_NAG",0.382,"Mouse_Pa","trial_1","nag",0.340333333333333,0.0344399638662864
"189",11.75,"JV1_NAG",2.362,"Mouse_Pa","trial_1","nag",2.20133333333333,0.0804660038636056
"190",11.75,"JV3_NAG",1.106,"Mouse_Pa","trial_1","nag",1.038,0.0550545184340032
"191",11.75,"JV4_NAG",0.409,"Mouse_Pa","trial_1","nag",0.536666666666667,0.204496400402985
"192",11.75,"JV5_NAG",0.378,"Mouse_Pa","trial_1","nag",0.336333333333333,0.0269093127208985
"193",12,"JV1_NAG",2.372,"Mouse_Pa","trial_1","nag",2.21133333333333,0.080501207720409
"194",12,"JV3_NAG",1.124,"Mouse_Pa","trial_1","nag",1.04933333333333,0.0545964996843001
"195",12,"JV4_NAG",0.412,"Mouse_Pa","trial_1","nag",0.539333333333333,0.201429336934265
"196",12,"JV5_NAG",0.373,"Mouse_Pa","trial_1","nag",0.335333333333333,0.0274124870167675
"197",12.25,"JV1_NAG",2.376,"Mouse_Pa","trial_1","nag",2.21733333333333,0.0795871290543333
"198",12.25,"JV3_NAG",1.149,"Mouse_Pa","trial_1","nag",1.07233333333333,0.0582647215541084
"199",12.25,"JV4_NAG",0.416,"Mouse_Pa","trial_1","nag",0.554666666666667,0.216368769568171
"200",12.25,"JV5_NAG",0.377,"Mouse_Pa","trial_1","nag",0.348,0.0246373699895098
"201",12.5,"JV1_NAG",2.393,"Mouse_Pa","trial_1","nag",2.23333333333333,0.0800215248820243
"202",12.5,"JV3_NAG",1.16,"Mouse_Pa","trial_1","nag",1.10133333333333,0.0471781493678777
"203",12.5,"JV4_NAG",0.418,"Mouse_Pa","trial_1","nag",0.559,0.212110820091762
"204",12.5,"JV5_NAG",0.389,"Mouse_Pa","trial_1","nag",0.345666666666667,0.0288521133445099
"205",12.75,"JV1_NAG",2.402,"Mouse_Pa","trial_1","nag",2.244,0.0792106895143159
"206",12.75,"JV3_NAG",1.216,"Mouse_Pa","trial_1","nag",1.12666666666667,0.0659326255438922
"207",12.75,"JV4_NAG",0.428,"Mouse_Pa","trial_1","nag",0.565666666666667,0.221415396433441
"208",12.75,"JV5_NAG",0.394,"Mouse_Pa","trial_1","nag",0.356,0.032654759734736
"209",13,"JV1_NAG",2.408,"Mouse_Pa","trial_1","nag",2.25233333333333,0.0783460982507177
"210",13,"JV3_NAG",1.207,"Mouse_Pa","trial_1","nag",1.14066666666667,0.0547732700421575
"211",13,"JV4_NAG",0.441,"Mouse_Pa","trial_1","nag",0.571,0.224947401259346
"212",13,"JV5_NAG",0.403,"Mouse_Pa","trial_1","nag",0.361333333333333,0.0300462606288666
"213",13.25,"JV1_NAG",2.429,"Mouse_Pa","trial_1","nag",2.26566666666667,0.0821874551119437
"214",13.25,"JV3_NAG",1.217,"Mouse_Pa","trial_1","nag",1.162,0.0560029761113937
"215",13.25,"JV4_NAG",0.444,"Mouse_Pa","trial_1","nag",0.581666666666667,0.229111569134147
"216",13.25,"JV5_NAG",0.408,"Mouse_Pa","trial_1","nag",0.364,0.0331712727119918
"217",13.5,"JV1_NAG",2.43,"Mouse_Pa","trial_1","nag",2.277,0.0768396598986053
"218",13.5,"JV3_NAG",1.229,"Mouse_Pa","trial_1","nag",1.18066666666667,0.0539269052617626
"219",13.5,"JV4_NAG",0.445,"Mouse_Pa","trial_1","nag",0.576333333333333,0.221278356626018
"220",13.5,"JV5_NAG",0.412,"Mouse_Pa","trial_1","nag",0.363333333333333,0.0316298031047372
"221",13.75,"JV1_NAG",2.44,"Mouse_Pa","trial_1","nag",2.28866666666667,0.0759327187566583
"222",13.75,"JV3_NAG",1.247,"Mouse_Pa","trial_1","nag",1.19333333333333,0.0531674503599503
"223",13.75,"JV4_NAG",0.454,"Mouse_Pa","trial_1","nag",0.588333333333333,0.225307444272142
"224",13.75,"JV5_NAG",0.406,"Mouse_Pa","trial_1","nag",0.363333333333333,0.0239884231337628
"225",14,"JV1_NAG",2.453,"Mouse_Pa","trial_1","nag",2.29933333333333,0.0775721886016144
"226",14,"JV3_NAG",1.265,"Mouse_Pa","trial_1","nag",1.205,0.0565361241449511
"227",14,"JV4_NAG",0.45,"Mouse_Pa","trial_1","nag",0.603333333333333,0.23458426583592
"228",14,"JV5_NAG",0.389,"Mouse_Pa","trial_1","nag",0.355666666666667,0.0220479275922049
"229",14.25,"JV1_NAG",2.466,"Mouse_Pa","trial_1","nag",2.31133333333333,0.0778167362746887
"230",14.25,"JV3_NAG",1.264,"Mouse_Pa","trial_1","nag",1.22833333333333,0.0519433452052437
"231",14.25,"JV4_NAG",0.447,"Mouse_Pa","trial_1","nag",0.604,0.242004820888621
"232",14.25,"JV5_NAG",0.381,"Mouse_Pa","trial_1","nag",0.355666666666667,0.0179381653960983
"233",14.5,"JV1_NAG",2.476,"Mouse_Pa","trial_1","nag",2.32166666666667,0.0777524561955726
"234",14.5,"JV3_NAG",1.292,"Mouse_Pa","trial_1","nag",1.251,0.0518555686498567
"235",14.5,"JV4_NAG",0.432,"Mouse_Pa","trial_1","nag",0.606333333333333,0.243335388119178
"236",14.5,"JV5_NAG",0.356,"Mouse_Pa","trial_1","nag",0.351333333333333,0.0174769689718911
"237",14.75,"JV1_NAG",2.482,"Mouse_Pa","trial_1","nag",2.33333333333333,0.0748361172459157
"238",14.75,"JV3_NAG",1.256,"Mouse_Pa","trial_1","nag",1.23766666666667,0.0490725087101843
"239",14.75,"JV4_NAG",0.395,"Mouse_Pa","trial_1","nag",0.582333333333333,0.241208991909045
"240",14.75,"JV5_NAG",0.363,"Mouse_Pa","trial_1","nag",0.346666666666667,0.0204640606375611
"241",15,"JV1_NAG",2.494,"Mouse_Pa","trial_1","nag",2.344,0.075639495855891
"242",15,"JV3_NAG",1.304,"Mouse_Pa","trial_1","nag",1.26733333333333,0.0561911420460952
"243",15,"JV4_NAG",0.384,"Mouse_Pa","trial_1","nag",0.577666666666667,0.237437945109407
"244",15,"JV5_NAG",0.353,"Mouse_Pa","trial_1","nag",0.346,0.0173877351409933
"245",15.25,"JV1_NAG",2.504,"Mouse_Pa","trial_1","nag",2.35233333333333,0.0766644927228013
"246",15.25,"JV3_NAG",1.309,"Mouse_Pa","trial_1","nag",1.287,0.0525483903971695
"247",15.25,"JV4_NAG",0.378,"Mouse_Pa","trial_1","nag",0.574333333333333,0.238510889572037
"248",15.25,"JV5_NAG",0.351,"Mouse_Pa","trial_1","nag",0.347333333333333,0.0154092324417683
"249",15.5,"JV1_NAG",2.512,"Mouse_Pa","trial_1","nag",2.36633333333333,0.0736983340683115
"250",15.5,"JV3_NAG",1.33,"Mouse_Pa","trial_1","nag",1.30133333333333,0.0450641518035986
"251",15.5,"JV4_NAG",0.367,"Mouse_Pa","trial_1","nag",0.564666666666667,0.235112975207901
"252",15.5,"JV5_NAG",0.346,"Mouse_Pa","trial_1","nag",0.346666666666667,0.0236737078727529
"253",15.75,"JV1_NAG",2.526,"Mouse_Pa","trial_1","nag",2.37933333333333,0.0736598790236433
"254",15.75,"JV3_NAG",1.342,"Mouse_Pa","trial_1","nag",1.31733333333333,0.0567812566883748
"255",15.75,"JV4_NAG",0.364,"Mouse_Pa","trial_1","nag",0.557333333333333,0.229225749959389
"256",15.75,"JV5_NAG",0.345,"Mouse_Pa","trial_1","nag",0.34,0.0246644143115812
"257",16,"JV1_NAG",2.533,"Mouse_Pa","trial_1","nag",2.38266666666667,0.0760927796253437
"258",16,"JV3_NAG",1.324,"Mouse_Pa","trial_1","nag",1.31633333333333,0.0443333333333333
"259",16,"JV4_NAG",0.36,"Mouse_Pa","trial_1","nag",0.561,0.233210205608588
"260",16,"JV5_NAG",0.344,"Mouse_Pa","trial_1","nag",0.340333333333333,0.0274853496329307
"261",16.25,"JV1_NAG",2.543,"Mouse_Pa","trial_1","nag",2.39766666666667,0.0733265148345248
"262",16.25,"JV3_NAG",1.352,"Mouse_Pa","trial_1","nag",1.335,0.0461121820491433
