"","Time","strain","OD600","expt","trial","sugar","mean_OD600","sem_OD600"
"67",4,"JV4_Rib",0.026,"Mouse_Pa","trial_1","ribose",0.0196666666666667,0.00536449231314369
"68",4,"JV5_Rib",0.027,"Mouse_Pa","trial_1","ribose",0.0256666666666667,0.00240370085030933
"69",4.25,"JV1_Rib",0.293,"Mouse_Pa","trial_1","ribose",0.378666666666667,0.0479942126140688
"70",4.25,"JV3_Rib",0.148,"Mouse_Pa","trial_1","ribose",0.0676666666666667,0.0406215596833887
"71",4.25,"JV4_Rib",0.036,"Mouse_Pa","trial_1","ribose",0.027,0.0062449979983984
"72",4.25,"JV5_Rib",0.038,"Mouse_Pa","trial_1","ribose",0.0326666666666667,0.00352766841475279
"73",4.5,"JV1_Rib",0.35,"Mouse_Pa","trial_1","ribose",0.459666666666667,0.0593866801377024
"74",4.5,"JV3_Rib",0.207,"Mouse_Pa","trial_1","ribose",0.092,0.0575876144091187
"75",4.5,"JV4_Rib",0.05,"Mouse_Pa","trial_1","ribose",0.0353333333333333,0.00837323779138698
"76",4.5,"JV5_Rib",0.053,"Mouse_Pa","trial_1","ribose",0.0406666666666667,0.00648930744464393
"77",4.75,"JV1_Rib",0.389,"Mouse_Pa","trial_1","ribose",0.526333333333333,0.0714173959511578
"78",4.75,"JV3_Rib",0.302,"Mouse_Pa","trial_1","ribose",0.127,0.0876717362285779
"79",4.75,"JV4_Rib",0.064,"Mouse_Pa","trial_1","ribose",0.0453333333333333,0.0096148034012373
"80",4.75,"JV5_Rib",0.085,"Mouse_Pa","trial_1","ribose",0.056,0.014525839046334
"81",5,"JV1_Rib",0.466,"Mouse_Pa","trial_1","ribose",0.605333333333333,0.0709209262332196
"82",5,"JV3_Rib",0.359,"Mouse_Pa","trial_1","ribose",0.156333333333333,0.101392526570968
"83",5,"JV4_Rib",0.091,"Mouse_Pa","trial_1","ribose",0.0576666666666667,0.0171496679592087
"84",5,"JV5_Rib",0.176,"Mouse_Pa","trial_1","ribose",0.0926666666666667,0.0416826635958457
"85",5.25,"JV1_Rib",0.55,"Mouse_Pa","trial_1","ribose",0.688,0.069778220097678
"86",5.25,"JV3_Rib",0.369,"Mouse_Pa","trial_1","ribose",0.192333333333333,0.0892418685993918
"87",5.25,"JV4_Rib",0.214,"Mouse_Pa","trial_1","ribose",0.103333333333333,0.0554807273844811
"88",5.25,"JV5_Rib",0.245,"Mouse_Pa","trial_1","ribose",0.124,0.0605337371499012
"89",5.5,"JV1_Rib",0.626,"Mouse_Pa","trial_1","ribose",0.766333333333333,0.071064133788509
"90",5.5,"JV3_Rib",0.446,"Mouse_Pa","trial_1","ribose",0.256333333333333,0.0953106033508923
"91",5.5,"JV4_Rib",0.296,"Mouse_Pa","trial_1","ribose",0.139333333333333,0.0784693853961177
"92",5.5,"JV5_Rib",0.29,"Mouse_Pa","trial_1","ribose",0.147666666666667,0.071167252144352
"93",5.75,"JV1_Rib",0.714,"Mouse_Pa","trial_1","ribose",0.844,0.0659191423892433
"94",5.75,"JV3_Rib",0.453,"Mouse_Pa","trial_1","ribose",0.317666666666667,0.0737955132631909
"95",5.75,"JV4_Rib",0.324,"Mouse_Pa","trial_1","ribose",0.158,0.0831624915451672
"96",5.75,"JV5_Rib",0.258,"Mouse_Pa","trial_1","ribose",0.149333333333333,0.0543823909408592
"97",6,"JV1_Rib",0.793,"Mouse_Pa","trial_1","ribose",0.919666666666667,0.064276313245584
"98",6,"JV3_Rib",0.474,"Mouse_Pa","trial_1","ribose",0.373666666666667,0.0546392207525368
"99",6,"JV4_Rib",0.344,"Mouse_Pa","trial_1","ribose",0.183666666666667,0.0803167341080162
"100",6,"JV5_Rib",0.295,"Mouse_Pa","trial_1","ribose",0.192333333333333,0.0553815051358403
"101",6.25,"JV1_Rib",0.885,"Mouse_Pa","trial_1","ribose",0.989666666666667,0.0525906624580617
"102",6.25,"JV3_Rib",0.516,"Mouse_Pa","trial_1","ribose",0.412,0.0566656862660288
"103",6.25,"JV4_Rib",0.339,"Mouse_Pa","trial_1","ribose",0.221,0.0593408234972631
"104",6.25,"JV5_Rib",0.31,"Mouse_Pa","trial_1","ribose",0.24,0.0480416485978573
"105",6.5,"JV1_Rib",0.966,"Mouse_Pa","trial_1","ribose",1.07,0.0522589705218157
"106",6.5,"JV3_Rib",0.519,"Mouse_Pa","trial_1","ribose",0.415666666666667,0.0552700441267942
"107",6.5,"JV4_Rib",0.32,"Mouse_Pa","trial_1","ribose",0.269333333333333,0.0253924748257782
"108",6.5,"JV5_Rib",0.342,"Mouse_Pa","trial_1","ribose",0.287333333333333,0.0329915814177563
"109",6.75,"JV1_Rib",1.04,"Mouse_Pa","trial_1","ribose",1.144,0.052459508194416
"110",6.75,"JV3_Rib",0.556,"Mouse_Pa","trial_1","ribose",0.451,0.0528488410468953
"111",6.75,"JV4_Rib",0.3,"Mouse_Pa","trial_1","ribose",0.296,0.0066583281184794
"112",6.75,"JV5_Rib",0.365,"Mouse_Pa","trial_1","ribose",0.316,0.030171730698343
"113",7,"JV1_Rib",1.121,"Mouse_Pa","trial_1","ribose",1.22,0.0500233278914281
"114",7,"JV3_Rib",0.597,"Mouse_Pa","trial_1","ribose",0.492333333333333,0.0534706565427348
"115",7,"JV4_Rib",0.333,"Mouse_Pa","trial_1","ribose",0.314666666666667,0.0145181878269217
"116",7,"JV5_Rib",0.39,"Mouse_Pa","trial_1","ribose",0.337333333333333,0.0318398771633588
"117",7.25,"JV1_Rib",1.196,"Mouse_Pa","trial_1","ribose",1.29566666666667,0.0523014765034836
"118",7.25,"JV3_Rib",0.624,"Mouse_Pa","trial_1","ribose",0.529666666666667,0.0518984050279432
"119",7.25,"JV4_Rib",0.349,"Mouse_Pa","trial_1","ribose",0.336333333333333,0.00751295177972309
"120",7.25,"JV5_Rib",0.414,"Mouse_Pa","trial_1","ribose",0.358,0.0305122926047847
"121",7.5,"JV1_Rib",1.269,"Mouse_Pa","trial_1","ribose",1.36933333333333,0.0524478577043694
"122",7.5,"JV3_Rib",0.681,"Mouse_Pa","trial_1","ribose",0.561,0.0600444279957211
"123",7.5,"JV4_Rib",0.379,"Mouse_Pa","trial_1","ribose",0.358,0.0277548794508882
"124",7.5,"JV5_Rib",0.448,"Mouse_Pa","trial_1","ribose",0.336666666666667,0.0561703757430117
"125",7.75,"JV1_Rib",1.349,"Mouse_Pa","trial_1","ribose",1.43633333333333,0.0456411120713673
"126",7.75,"JV3_Rib",0.683,"Mouse_Pa","trial_1","ribose",0.581,0.0512640224719052
"127",7.75,"JV4_Rib",0.398,"Mouse_Pa","trial_1","ribose",0.375,0.0177857620959388
"128",7.75,"JV5_Rib",0.484,"Mouse_Pa","trial_1","ribose",0.369666666666667,0.057429183444579
"129",8,"JV1_Rib",1.423,"Mouse_Pa","trial_1","ribose",1.494,0.0382143079661706
"130",8,"JV3_Rib",0.771,"Mouse_Pa","trial_1","ribose",0.634333333333333,0.0686836548564827
"131",8,"JV4_Rib",0.411,"Mouse_Pa","trial_1","ribose",0.350333333333333,0.0326666666666667
"132",8,"JV5_Rib",0.511,"Mouse_Pa","trial_1","ribose",0.384,0.0635006561645888
"133",8.25,"JV1_Rib",1.494,"Mouse_Pa","trial_1","ribose",1.552,0.0332014055927356
"134",8.25,"JV3_Rib",0.782,"Mouse_Pa","trial_1","ribose",0.635,0.0735459040327876
"135",8.25,"JV4_Rib",0.419,"Mouse_Pa","trial_1","ribose",0.357333333333333,0.0308670986290869
"136",8.25,"JV5_Rib",0.512,"Mouse_Pa","trial_1","ribose",0.403,0.0546290520998977
"137",8.5,"JV1_Rib",1.555,"Mouse_Pa","trial_1","ribose",1.60233333333333,0.0263333333333333
"138",8.5,"JV3_Rib",0.828,"Mouse_Pa","trial_1","ribose",0.709,0.0595063021872473
"139",8.5,"JV4_Rib",0.42,"Mouse_Pa","trial_1","ribose",0.365666666666667,0.0271682003657053
"140",8.5,"JV5_Rib",0.475,"Mouse_Pa","trial_1","ribose",0.415333333333333,0.0299462481419255
"141",8.75,"JV1_Rib",1.61,"Mouse_Pa","trial_1","ribose",1.65166666666667,0.0234117729168705
"142",8.75,"JV3_Rib",0.881,"Mouse_Pa","trial_1","ribose",0.739333333333333,0.0716341011281948
"143",8.75,"JV4_Rib",0.412,"Mouse_Pa","trial_1","ribose",0.382,0.0150443787951957
"144",8.75,"JV5_Rib",0.477,"Mouse_Pa","trial_1","ribose",0.437,0.0201328918273887
"145",9,"JV1_Rib",1.668,"Mouse_Pa","trial_1","ribose",1.699,0.0170977581376429
"146",9,"JV3_Rib",0.914,"Mouse_Pa","trial_1","ribose",0.781666666666667,0.0663082029448678
"147",9,"JV4_Rib",0.421,"Mouse_Pa","trial_1","ribose",0.397333333333333,0.0130426650310092
"148",9,"JV5_Rib",0.499,"Mouse_Pa","trial_1","ribose",0.462333333333333,0.0216666666666667
"149",9.25,"JV1_Rib",1.711,"Mouse_Pa","trial_1","ribose",1.73633333333333,0.0139204086785474
"150",9.25,"JV3_Rib",0.939,"Mouse_Pa","trial_1","ribose",0.812,0.0654548190229973
"151",9.25,"JV4_Rib",0.433,"Mouse_Pa","trial_1","ribose",0.412333333333333,0.0110955446513955
"152",9.25,"JV5_Rib",0.512,"Mouse_Pa","trial_1","ribose",0.460666666666667,0.0279125618872778
"153",9.5,"JV1_Rib",1.753,"Mouse_Pa","trial_1","ribose",1.774,0.0127410099024109
"154",9.5,"JV3_Rib",0.953,"Mouse_Pa","trial_1","ribose",0.844333333333333,0.054581234056323
"155",9.5,"JV4_Rib",0.441,"Mouse_Pa","trial_1","ribose",0.429,0.00873689494805411
"156",9.5,"JV5_Rib",0.522,"Mouse_Pa","trial_1","ribose",0.445,0.0404516171905813
"157",9.75,"JV1_Rib",1.808,"Mouse_Pa","trial_1","ribose",1.82266666666667,0.00898764584180849
"158",9.75,"JV3_Rib",1.032,"Mouse_Pa","trial_1","ribose",0.891666666666667,0.0702669512960712
"159",9.75,"JV4_Rib",0.453,"Mouse_Pa","trial_1","ribose",0.428666666666667,0.015452435981999
"160",9.75,"JV5_Rib",0.525,"Mouse_Pa","trial_1","ribose",0.441,0.0431315816233689
"161",10,"JV1_Rib",1.841,"Mouse_Pa","trial_1","ribose",1.85733333333333,0.00983756970891581
"162",10,"JV3_Rib",1.024,"Mouse_Pa","trial_1","ribose",0.921666666666667,0.0519433452052437
"163",10,"JV4_Rib",0.453,"Mouse_Pa","trial_1","ribose",0.424666666666667,0.0158989866902824
"164",10,"JV5_Rib",0.534,"Mouse_Pa","trial_1","ribose",0.445666666666667,0.0444384718209096
"165",10.25,"JV1_Rib",1.891,"Mouse_Pa","trial_1","ribose",1.89066666666667,0.00606446846622012
"166",10.25,"JV3_Rib",1.082,"Mouse_Pa","trial_1","ribose",0.958333333333333,0.0631831552797984
"167",10.25,"JV4_Rib",0.459,"Mouse_Pa","trial_1","ribose",0.437333333333333,0.0130170827931778
"168",10.25,"JV5_Rib",0.542,"Mouse_Pa","trial_1","ribose",0.455333333333333,0.0433487152186903
"169",10.5,"JV1_Rib",1.911,"Mouse_Pa","trial_1","ribose",1.91566666666667,0.00371184290855335
"170",10.5,"JV3_Rib",1.091,"Mouse_Pa","trial_1","ribose",0.977666666666667,0.0569600249687835
"171",10.5,"JV4_Rib",0.452,"Mouse_Pa","trial_1","ribose",0.439666666666667,0.00825294560209331
"172",10.5,"JV5_Rib",0.541,"Mouse_Pa","trial_1","ribose",0.464333333333333,0.0384028355434567
"173",10.75,"JV1_Rib",1.953,"Mouse_Pa","trial_1","ribose",1.95266666666667,0.00145296631451359
"174",10.75,"JV3_Rib",1.137,"Mouse_Pa","trial_1","ribose",1.01733333333333,0.0608833128022595
"175",10.75,"JV4_Rib",0.455,"Mouse_Pa","trial_1","ribose",0.451,0.0045092497528229
"176",10.75,"JV5_Rib",0.533,"Mouse_Pa","trial_1","ribose",0.456,0.0392810386828047
"177",11,"JV1_Rib",1.98,"Mouse_Pa","trial_1","ribose",1.97133333333333,0.00520683311727111
"178",11,"JV3_Rib",1.133,"Mouse_Pa","trial_1","ribose",1.03566666666667,0.0487522079272086
"179",11,"JV4_Rib",0.454,"Mouse_Pa","trial_1","ribose",0.455666666666667,0.00956265885852069
"180",11,"JV5_Rib",0.518,"Mouse_Pa","trial_1","ribose",0.466666666666667,0.0270883328718801
"181",11.25,"JV1_Rib",2.058,"Mouse_Pa","trial_1","ribose",2.016,0.021031722072463
"182",11.25,"JV3_Rib",1.155,"Mouse_Pa","trial_1","ribose",1.05433333333333,0.0503631258406828
"183",11.25,"JV4_Rib",0.457,"Mouse_Pa","trial_1","ribose",0.464,0.0151327459504216
"184",11.25,"JV5_Rib",0.516,"Mouse_Pa","trial_1","ribose",0.464666666666667,0.0263080046965009
"185",11.5,"JV1_Rib",2.032,"Mouse_Pa","trial_1","ribose",2.02866666666667,0.00333333333333341
"186",11.5,"JV3_Rib",1.197,"Mouse_Pa","trial_1","ribose",1.08633333333333,0.0557653815353018
"187",11.5,"JV4_Rib",0.453,"Mouse_Pa","trial_1","ribose",0.464,0.0157162336455017
"188",11.5,"JV5_Rib",0.494,"Mouse_Pa","trial_1","ribose",0.435,0.0322335229225724
"189",11.75,"JV1_Rib",2.084,"Mouse_Pa","trial_1","ribose",2.06166666666667,0.0121974496423547
"190",11.75,"JV3_Rib",1.202,"Mouse_Pa","trial_1","ribose",1.09566666666667,0.0533427075095035
"191",11.75,"JV4_Rib",0.45,"Mouse_Pa","trial_1","ribose",0.470333333333333,0.022878908287863
"192",11.75,"JV5_Rib",0.455,"Mouse_Pa","trial_1","ribose",0.418,0.0263502055652956
"193",12,"JV1_Rib",2.134,"Mouse_Pa","trial_1","ribose",2.08866666666667,0.0232546291687865
"194",12,"JV3_Rib",1.229,"Mouse_Pa","trial_1","ribose",1.12066666666667,0.0561317893691069
"195",12,"JV4_Rib",0.459,"Mouse_Pa","trial_1","ribose",0.472333333333333,0.0212785755580062
"196",12,"JV5_Rib",0.441,"Mouse_Pa","trial_1","ribose",0.421333333333333,0.0140988573217044
"197",12.25,"JV1_Rib",2.134,"Mouse_Pa","trial_1","ribose",2.10833333333333,0.0132203546767013
"198",12.25,"JV3_Rib",1.23,"Mouse_Pa","trial_1","ribose",1.12166666666667,0.0542965110399472
"199",12.25,"JV4_Rib",0.452,"Mouse_Pa","trial_1","ribose",0.475333333333333,0.0258736244937667
"200",12.25,"JV5_Rib",0.466,"Mouse_Pa","trial_1","ribose",0.427666666666667,0.0222286101929723
"201",12.5,"JV1_Rib",2.147,"Mouse_Pa","trial_1","ribose",2.131,0.00832666399786443
"202",12.5,"JV3_Rib",1.255,"Mouse_Pa","trial_1","ribose",1.15533333333333,0.0513560555771609
"203",12.5,"JV4_Rib",0.454,"Mouse_Pa","trial_1","ribose",0.479333333333333,0.0299462481419255
"204",12.5,"JV5_Rib",0.447,"Mouse_Pa","trial_1","ribose",0.422666666666667,0.0161898459261079
"205",12.75,"JV1_Rib",2.202,"Mouse_Pa","trial_1","ribose",2.15933333333333,0.0214579692525748
"206",12.75,"JV3_Rib",1.258,"Mouse_Pa","trial_1","ribose",1.16166666666667,0.0490996718703677
"207",12.75,"JV4_Rib",0.45,"Mouse_Pa","trial_1","ribose",0.477333333333333,0.0308994786004194
"208",12.75,"JV5_Rib",0.466,"Mouse_Pa","trial_1","ribose",0.427666666666667,0.0219418423211098
"209",13,"JV1_Rib",2.199,"Mouse_Pa","trial_1","ribose",2.17166666666667,0.0168259059521652
"210",13,"JV3_Rib",1.274,"Mouse_Pa","trial_1","ribose",1.178,0.0493693562175297
"211",13,"JV4_Rib",0.449,"Mouse_Pa","trial_1","ribose",0.473,0.035028559776274
"212",13,"JV5_Rib",0.44,"Mouse_Pa","trial_1","ribose",0.417,0.0135769412362775
"213",13.25,"JV1_Rib",2.246,"Mouse_Pa","trial_1","ribose",2.2,0.0243789526709688
"214",13.25,"JV3_Rib",1.285,"Mouse_Pa","trial_1","ribose",1.194,0.0458293937700831
"215",13.25,"JV4_Rib",0.431,"Mouse_Pa","trial_1","ribose",0.476666666666667,0.0388772998605156
"216",13.25,"JV5_Rib",0.463,"Mouse_Pa","trial_1","ribose",0.430666666666667,0.0187646239267168
"217",13.5,"JV1_Rib",2.245,"Mouse_Pa","trial_1","ribose",2.20633333333333,0.0222286101929723
"218",13.5,"JV3_Rib",1.296,"Mouse_Pa","trial_1","ribose",1.20466666666667,0.0460301833341752
"219",13.5,"JV4_Rib",0.412,"Mouse_Pa","trial_1","ribose",0.464666666666667,0.0399346688702658
"220",13.5,"JV5_Rib",0.453,"Mouse_Pa","trial_1","ribose",0.429,0.013856406460551
"221",13.75,"JV1_Rib",2.269,"Mouse_Pa","trial_1","ribose",2.23233333333333,0.0195987527947855
"222",13.75,"JV3_Rib",1.269,"Mouse_Pa","trial_1","ribose",1.20266666666667,0.033167922924282
"223",13.75,"JV4_Rib",0.378,"Mouse_Pa","trial_1","ribose",0.468666666666667,0.0603499056429346
"224",13.75,"JV5_Rib",0.449,"Mouse_Pa","trial_1","ribose",0.432333333333333,0.00982061324177083
"225",14,"JV1_Rib",2.296,"Mouse_Pa","trial_1","ribose",2.25466666666667,0.0226372357951328
"226",14,"JV3_Rib",1.289,"Mouse_Pa","trial_1","ribose",1.202,0.0435239397726508
"227",14,"JV4_Rib",0.406,"Mouse_Pa","trial_1","ribose",0.463,0.0520800665642176
"228",14,"JV5_Rib",0.451,"Mouse_Pa","trial_1","ribose",0.43,0.0121243556529822
"229",14.25,"JV1_Rib",2.308,"Mouse_Pa","trial_1","ribose",2.26533333333333,0.0226151375066446
"230",14.25,"JV3_Rib",1.289,"Mouse_Pa","trial_1","ribose",1.211,0.0390042732701602
"231",14.25,"JV4_Rib",0.401,"Mouse_Pa","trial_1","ribose",0.484333333333333,0.0580469158908933
"232",14.25,"JV5_Rib",0.472,"Mouse_Pa","trial_1","ribose",0.455,0.0101159939369957
"233",14.5,"JV1_Rib",2.327,"Mouse_Pa","trial_1","ribose",2.28866666666667,0.0211528826509401
"234",14.5,"JV3_Rib",1.284,"Mouse_Pa","trial_1","ribose",1.202,0.0425949918808929
"235",14.5,"JV4_Rib",0.394,"Mouse_Pa","trial_1","ribose",0.461666666666667,0.0622477130325105
"236",14.5,"JV5_Rib",0.452,"Mouse_Pa","trial_1","ribose",0.425333333333333,0.0172658944486265
"237",14.75,"JV1_Rib",2.355,"Mouse_Pa","trial_1","ribose",2.303,0.0274043792120894
"238",14.75,"JV3_Rib",1.262,"Mouse_Pa","trial_1","ribose",1.2,0.0315330514434194
"239",14.75,"JV4_Rib",0.396,"Mouse_Pa","trial_1","ribose",0.469333333333333,0.0693717842097523
"240",14.75,"JV5_Rib",0.45,"Mouse_Pa","trial_1","ribose",0.419,0.019157244060668
"241",15,"JV1_Rib",2.365,"Mouse_Pa","trial_1","ribose",2.322,0.0223383079036887
"242",15,"JV3_Rib",1.235,"Mouse_Pa","trial_1","ribose",1.17233333333333,0.0317612622195306
"243",15,"JV4_Rib",0.384,"Mouse_Pa","trial_1","ribose",0.461666666666667,0.0727239835114784
"244",15,"JV5_Rib",0.475,"Mouse_Pa","trial_1","ribose",0.432,0.0267270150472015
"245",15.25,"JV1_Rib",2.384,"Mouse_Pa","trial_1","ribose",2.339,0.022722969289539
"246",15.25,"JV3_Rib",1.206,"Mouse_Pa","trial_1","ribose",1.14533333333333,0.0307751703668901
"247",15.25,"JV4_Rib",0.385,"Mouse_Pa","trial_1","ribose",0.470333333333333,0.0727216917050507
"248",15.25,"JV5_Rib",0.474,"Mouse_Pa","trial_1","ribose",0.438333333333333,0.0303333333333333
"249",15.5,"JV1_Rib",2.398,"Mouse_Pa","trial_1","ribose",2.35366666666667,0.0256926275633908
"250",15.5,"JV3_Rib",1.141,"Mouse_Pa","trial_1","ribose",1.134,0.0065064070986477
"251",15.5,"JV4_Rib",0.384,"Mouse_Pa","trial_1","ribose",0.469,0.0776208734813001
"252",15.5,"JV5_Rib",0.454,"Mouse_Pa","trial_1","ribose",0.434666666666667,0.0354087245997053
"253",15.75,"JV1_Rib",2.409,"Mouse_Pa","trial_1","ribose",2.36933333333333,0.02175877856049
"254",15.75,"JV3_Rib",1.089,"Mouse_Pa","trial_1","ribose",1.09433333333333,0.0112891294812508
"255",15.75,"JV4_Rib",0.377,"Mouse_Pa","trial_1","ribose",0.465666666666667,0.0827392154771713
