"","Strain","Plate","Chemical","corr_OD595","trial","chem_mean"
"166","JV1","PM1","Glyoxylic acid",0.008,"trial_2",0.00266666666666667
"167","JV1","PM1","D-Cellobiose",4.247,"trial_2",4.785
"168","JV1","PM1","Inosine",2.46,"trial_2",2.68
"169","JV1","PM1","Gly-Glu",1.609,"trial_2",1.71
"170","JV1","PM1","Tricarballylic acid",0.06,"trial_2",0.267
"171","JV1","PM1","L-Serine",2.18,"trial_2",1.97666666666667
"172","JV1","PM1","L-Threonine",1.58,"trial_2",1.51566666666667
"173","JV1","PM1","L-Alanine",1.735,"trial_2",1.60566666666667
"174","JV1","PM1","Ala-Gly",1.754,"trial_2",1.657
"175","JV1","PM1","Acetoacetic acid",0.109,"trial_2",0.178666666666667
"176","JV1","PM1","N-Acetyl-D-Mannosamine",1.869,"trial_2",1.79766666666667
"177","JV1","PM1","Mono-methyl Succinate",1.099,"trial_2",0.970333333333333
"178","JV1","PM1","Methyl Pyruvate",1.767,"trial_2",1.69166666666667
"179","JV1","PM1","D-Malic acid",1.568,"trial_2",1.41133333333333
"180","JV1","PM1","L-Malic acid",2.066,"trial_2",1.95433333333333
"181","JV1","PM1","Gly-Pro",2.016,"trial_2",1.69833333333333
"182","JV1","PM1","p-Hydroxyphenyl Acetic acid",1.899,"trial_2",1.554
"183","JV1","PM1","m-Hydroxyphenyl Acetic acid",1.547,"trial_2",1.60133333333333
"184","JV1","PM1","Tyramine",1.644,"trial_2",1.51666666666667
"185","JV1","PM1","D-Psicose",0.312,"trial_2",0.262666666666667
"186","JV1","PM1","L-Lyxose",1.717,"trial_2",1.506
"187","JV1","PM1","Glucuronamide",0.378,"trial_2",0.383333333333333
"188","JV1","PM1","Pyruvic acid",1.954,"trial_2",1.986
"189","JV1","PM1","L-Galactonic acid-g-Lactone",2.368,"trial_2",2.524
"190","JV1","PM1","D-Galacturonic acid",2.46,"trial_2",2.412
"191","JV1","PM1","b-Phenylethylamine",0.014,"trial_2",0.033
"192","JV1","PM1","Ethanolamine",0.002,"trial_2",0.0243333333333333
"193","JV1","PM1","Negative Control",0,"trial_3",0
"194","JV1","PM1","L-Arabinose",2.965,"trial_3",3.39133333333333
"195","JV1","PM1","N-Acetyl-D-Glucosamine",3.497,"trial_3",3.80366666666667
"196","JV1","PM1","D-Saccharic acid",2.077,"trial_3",2.146
"197","JV1","PM1","Succinic acid",1.25,"trial_3",1.42333333333333
"198","JV1","PM1","D-Galactose",2.349,"trial_3",3.236
"199","JV1","PM1","L-Aspartic acid",1.623,"trial_3",1.95933333333333
"200","JV1","PM1","L-Proline",1.508,"trial_3",1.783
"201","JV1","PM1","D-Alanine",1.487,"trial_3",1.76133333333333
"202","JV1","PM1","D-Trehalose",2.583,"trial_3",3.71166666666667
"203","JV1","PM1","D-Mannose",2.461,"trial_3",3.45466666666667
"204","JV1","PM1","Dulcitol",0,"trial_3",0.041
"205","JV1","PM1","D-Serine",2.017,"trial_3",2.00233333333333
"206","JV1","PM1","D-Sorbitol",3.53,"trial_3",3.52233333333333
"207","JV1","PM1","Glycerol",1.108,"trial_3",1.451
"208","JV1","PM1","L-Fucose",1.901,"trial_3",2.11033333333333
"209","JV1","PM1","D-Glucuronic acid",1.871,"trial_3",2.20066666666667
"210","JV1","PM1","D-Gluconic acid",2.181,"trial_3",2.54366666666667
"211","JV1","PM1","DL-a-Glycerol Phosphate",1.791,"trial_3",2.03866666666667
"212","JV1","PM1","D-Xylose",3.18,"trial_3",3.397
"213","JV1","PM1","L-Lactic acid",1.763,"trial_3",1.91666666666667
"214","JV1","PM1","Formic acid",0.211,"trial_3",0.188333333333333
"215","JV1","PM1","D-Mannitol",2.64,"trial_3",3.13133333333333
"216","JV1","PM1","L-Glutamic acid",1.668,"trial_3",1.83333333333333
"217","JV1","PM1","D-Glucose-6-Phosphate",2.402,"trial_3",2.383
"218","JV1","PM1","D-Galactonic acid-g-Lactone",0.261,"trial_3",0.622333333333333
"219","JV1","PM1","DL-Malic acid",1.622,"trial_3",1.768
"220","JV1","PM1","D-Ribose",2.251,"trial_3",2.32633333333333
"221","JV1","PM1","Tween 20",0.038,"trial_3",1.003
"222","JV1","PM1","L-Rhamnose",1.646,"trial_3",1.97933333333333
"223","JV1","PM1","D-Fructose",2.638,"trial_3",3.35033333333333
"224","JV1","PM1","Acetic acid",1.496,"trial_3",1.57666666666667
"225","JV1","PM1","a-D-Glucose",3.044,"trial_3",3.771
"226","JV1","PM1","Maltose",2.527,"trial_3",3.07033333333333
"227","JV1","PM1","D-Melibiose",2.999,"trial_3",3.782
"228","JV1","PM1","Thymidine",1.884,"trial_3",2.10966666666667
"229","JV1","PM1","L-Asparagine",1.582,"trial_3",1.673
"230","JV1","PM1","D-Aspartic acid",0,"trial_3",0.00933333333333333
"231","JV1","PM1","D-Glucosaminic acid",0.115,"trial_3",0.387333333333333
"232","JV1","PM1","1,2-Propanediol",0.001,"trial_3",0.0853333333333333
"233","JV1","PM1","Tween 40",0,"trial_3",0.468666666666667
"234","JV1","PM1","a-Ketoglutaric acid",0.047,"trial_3",0.0933333333333333
"235","JV1","PM1","a-Ketobutyric acid",0,"trial_3",0.0636666666666667
"236","JV1","PM1","a-Methyl D-Galactoside",1.882,"trial_3",2.25666666666667
"237","JV1","PM1","a-D-Lactose",2.326,"trial_3",2.675
"238","JV1","PM1","Lactulose",2.262,"trial_3",2.21166666666667
"239","JV1","PM1","Sucrose",3.259,"trial_3",4.007
"240","JV1","PM1","Uridine",2.348,"trial_3",2.62666666666667
"241","JV1","PM1","L-Glutamine",2.158,"trial_3",2.33333333333333
"242","JV1","PM1","m-Tartaric acid",0.015,"trial_3",0.0706666666666667
"243","JV1","PM1","D-Glucose-1-Phosphate",1.986,"trial_3",2.07166666666667
"244","JV1","PM1","D-Fructose-6-Phosphate",2.29,"trial_3",2.329
"245","JV1","PM1","Tween 80",0,"trial_3",0.616666666666667
"246","JV1","PM1","a-Hydroxyglutaric acid-g-Lactone",0.016,"trial_3",0.0503333333333333
"247","JV1","PM1","a-Hydroxybutyric acid",0.476,"trial_3",0.667333333333333
"248","JV1","PM1","b-Methyl D-Glucoside",2.931,"trial_3",3.26033333333333
"249","JV1","PM1","Adonitol",2.623,"trial_3",3.03266666666667
"250","JV1","PM1","Maltotriose",3.49,"trial_3",4.073
"251","JV1","PM1","2`-Deoxyadenosine",2.224,"trial_3",2.32066666666667
"252","JV1","PM1","Adenosine",2.084,"trial_3",2.11133333333333
"253","JV1","PM1","Gly-Asp",1.69,"trial_3",1.73633333333333
"254","JV1","PM1","Citric acid",1.721,"trial_3",1.84733333333333
"255","JV1","PM1","m-Inositol",1.573,"trial_3",1.76766666666667
"256","JV1","PM1","D-Threonine",0,"trial_3",0.218666666666667
"257","JV1","PM1","Fumaric acid",1.485,"trial_3",1.811
"258","JV1","PM1","Bromosuccinic acid",1.458,"trial_3",1.567
"259","JV1","PM1","Propionic acid",0,"trial_3",0.007
"260","JV1","PM1","Mucic acid",2.118,"trial_3",2.31233333333333
"261","JV1","PM1","Glycolic acid",0,"trial_3",0.402333333333333
"262","JV1","PM1","Glyoxylic acid",0,"trial_3",0.00266666666666667
"263","JV1","PM1","D-Cellobiose",3.703,"trial_3",4.785
"264","JV1","PM1","Inosine",2.609,"trial_3",2.68
"265","JV1","PM1","Gly-Glu",1.696,"trial_3",1.71
"266","JV1","PM1","Tricarballylic acid",0.005,"trial_3",0.267
"267","JV1","PM1","L-Serine",1.742,"trial_3",1.97666666666667
"268","JV1","PM1","L-Threonine",1.438,"trial_3",1.51566666666667
"269","JV1","PM1","L-Alanine",1.442,"trial_3",1.60566666666667
"270","JV1","PM1","Ala-Gly",1.49,"trial_3",1.657
"271","JV1","PM1","Acetoacetic acid",0.01,"trial_3",0.178666666666667
"272","JV1","PM1","N-Acetyl-D-Mannosamine",1.731,"trial_3",1.79766666666667
"273","JV1","PM1","Mono-methyl Succinate",0.323,"trial_3",0.970333333333333
"274","JV1","PM1","Methyl Pyruvate",1.634,"trial_3",1.69166666666667
"275","JV1","PM1","D-Malic acid",1.072,"trial_3",1.41133333333333
"276","JV1","PM1","L-Malic acid",1.699,"trial_3",1.95433333333333
"277","JV1","PM1","Gly-Pro",1.596,"trial_3",1.69833333333333
"278","JV1","PM1","p-Hydroxyphenyl Acetic acid",1.411,"trial_3",1.554
"279","JV1","PM1","m-Hydroxyphenyl Acetic acid",1.264,"trial_3",1.60133333333333
"280","JV1","PM1","Tyramine",1.333,"trial_3",1.51666666666667
"281","JV1","PM1","D-Psicose",0.21,"trial_3",0.262666666666667
"282","JV1","PM1","L-Lyxose",1.42,"trial_3",1.506
"283","JV1","PM1","Glucuronamide",0.355,"trial_3",0.383333333333333
"284","JV1","PM1","Pyruvic acid",1.876,"trial_3",1.986
"285","JV1","PM1","L-Galactonic acid-g-Lactone",2.562,"trial_3",2.524
"286","JV1","PM1","D-Galacturonic acid",2.327,"trial_3",2.412
"287","JV1","PM1","b-Phenylethylamine",0.026,"trial_3",0.033
"288","JV1","PM1","Ethanolamine",0.02,"trial_3",0.0243333333333333
"289","JV3","PM1","Negative Control",0,"trial_1",0
"290","JV3","PM1","L-Arabinose",0.37,"trial_1",0.499
"291","JV3","PM1","N-Acetyl-D-Glucosamine",0.323,"trial_1",0.309
"292","JV3","PM1","D-Saccharic acid",0.031,"trial_1",0.0183333333333333
"293","JV3","PM1","Succinic acid",1.22,"trial_1",1.10433333333333
"294","JV3","PM1","D-Galactose",0,"trial_1",0.0233333333333333
"295","JV3","PM1","L-Aspartic acid",0.805,"trial_1",0.915333333333333
"296","JV3","PM1","L-Proline",0.952,"trial_1",1.173
"297","JV3","PM1","D-Alanine",0.307,"trial_1",0.323
"298","JV3","PM1","D-Trehalose",0.068,"trial_1",0.064
"299","JV3","PM1","D-Mannose",0.015,"trial_1",0.013
"300","JV3","PM1","Dulcitol",0.017,"trial_1",0.0106666666666667
"301","JV3","PM1","D-Serine",0.028,"trial_1",0.0423333333333333
"302","JV3","PM1","D-Sorbitol",0.039,"trial_1",0.0306666666666667
"303","JV3","PM1","Glycerol",0.342,"trial_1",0.252333333333333
"304","JV3","PM1","L-Fucose",0.074,"trial_1",0.086
"305","JV3","PM1","D-Glucuronic acid",0.059,"trial_1",0.0493333333333333
"306","JV3","PM1","D-Gluconic acid",2.04,"trial_1",1.60566666666667
"307","JV3","PM1","DL-a-Glycerol Phosphate",0.284,"trial_1",0.304666666666667
"308","JV3","PM1","D-Xylose",0.648,"trial_1",0.794
"309","JV3","PM1","L-Lactic acid",1.693,"trial_1",1.44866666666667
"310","JV3","PM1","Formic acid",0.18,"trial_1",0.0933333333333333
"311","JV3","PM1","D-Mannitol",0.791,"trial_1",0.827333333333333
"312","JV3","PM1","L-Glutamic acid",1.657,"trial_1",1.708
"313","JV3","PM1","D-Glucose-6-Phosphate",0.009,"trial_1",0.003
"314","JV3","PM1","D-Galactonic acid-g-Lactone",0.04,"trial_1",0.0236666666666667
"315","JV3","PM1","DL-Malic acid",1.457,"trial_1",1.22333333333333
"316","JV3","PM1","D-Ribose",0.864,"trial_1",0.936666666666667
"317","JV3","PM1","Tween 20",0.747,"trial_1",1.14933333333333
"318","JV3","PM1","L-Rhamnose",0.102,"trial_1",0.0703333333333333
"319","JV3","PM1","D-Fructose",0.748,"trial_1",0.725333333333333
"320","JV3","PM1","Acetic acid",0.504,"trial_1",0.505333333333333
"321","JV3","PM1","a-D-Glucose",1.863,"trial_1",1.75633333333333
"322","JV3","PM1","Maltose",0.092,"trial_1",0.0586666666666667
"323","JV3","PM1","D-Melibiose",0.075,"trial_1",0.042
"324","JV3","PM1","Thymidine",0.033,"trial_1",0.015
"325","JV3","PM1","L-Asparagine",1.652,"trial_1",1.578
"326","JV3","PM1","D-Aspartic acid",0.061,"trial_1",0.0333333333333333
"327","JV3","PM1","D-Glucosaminic acid",0.05,"trial_1",0.031
"328","JV3","PM1","1,2-Propanediol",0.121,"trial_1",0.0976666666666667
"329","JV3","PM1","Tween 40",1.281,"trial_1",1.31666666666667
"330","JV3","PM1","a-Ketoglutaric acid",0.847,"trial_1",0.631
"331","JV3","PM1","a-Ketobutyric acid",0.071,"trial_1",0.0646666666666667
"332","JV3","PM1","a-Methyl D-Galactoside",0.077,"trial_1",0.051
"333","JV3","PM1","a-D-Lactose",0.085,"trial_1",0.0543333333333333
"334","JV3","PM1","Lactulose",0.125,"trial_1",0.0836666666666667
"335","JV3","PM1","Sucrose",0.125,"trial_1",0.0713333333333333
"336","JV3","PM1","Uridine",0.317,"trial_1",0.281333333333333
"337","JV3","PM1","L-Glutamine",1.738,"trial_1",1.592
"338","JV3","PM1","m-Tartaric acid",0.059,"trial_1",0.0253333333333333
"339","JV3","PM1","D-Glucose-1-Phosphate",0.06,"trial_1",0.0373333333333333
"340","JV3","PM1","D-Fructose-6-Phosphate",0.182,"trial_1",0.209
"341","JV3","PM1","Tween 80",0.757,"trial_1",0.926
"342","JV3","PM1","a-Hydroxyglutaric acid-g-Lactone",0.077,"trial_1",0.053
"343","JV3","PM1","a-Hydroxybutyric acid",0.071,"trial_1",0.0463333333333333
"344","JV3","PM1","b-Methyl D-Glucoside",0.077,"trial_1",0.048
"345","JV3","PM1","Adonitol",0.088,"trial_1",0.0646666666666667
"346","JV3","PM1","Maltotriose",0.165,"trial_1",0.122
"347","JV3","PM1","2`-Deoxyadenosine",0.052,"trial_1",0.0173333333333333
"348","JV3","PM1","Adenosine",0.285,"trial_1",0.296666666666667
"349","JV3","PM1","Gly-Asp",0.07,"trial_1",0.069
"350","JV3","PM1","Citric acid",1.442,"trial_1",1.42666666666667
"351","JV3","PM1","m-Inositol",0.037,"trial_1",0.0283333333333333
"352","JV3","PM1","D-Threonine",0.097,"trial_1",0.0683333333333333
"353","JV3","PM1","Fumaric acid",1.762,"trial_1",1.82366666666667
"354","JV3","PM1","Bromosuccinic acid",0.556,"trial_1",0.435
"355","JV3","PM1","Propionic acid",0.422,"trial_1",0.643333333333333
"356","JV3","PM1","Mucic acid",0.077,"trial_1",0.0516666666666667
"357","JV3","PM1","Glycolic acid",0.06,"trial_1",0.024
"358","JV3","PM1","Glyoxylic acid",0.052,"trial_1",0.0283333333333333
"359","JV3","PM1","D-Cellobiose",0.089,"trial_1",0.06
"360","JV3","PM1","Inosine",1.266,"trial_1",1.20966666666667
"361","JV3","PM1","Gly-Glu",0.076,"trial_1",0.0926666666666667
"362","JV3","PM1","Tricarballylic acid",0.084,"trial_1",0.0533333333333333
"363","JV3","PM1","L-Serine",0.077,"trial_1",0.109333333333333
"364","JV3","PM1","L-Threonine",0.086,"trial_1",0.0763333333333333
"365","JV3","PM1","L-Alanine",0.411,"trial_1",0.413333333333333
"366","JV3","PM1","Ala-Gly",0.061,"trial_1",0.0573333333333333
"367","JV3","PM1","Acetoacetic acid",0.071,"trial_1",0.0613333333333333
"368","JV3","PM1","N-Acetyl-D-Mannosamine",0.056,"trial_1",0.042
"369","JV3","PM1","Mono-methyl Succinate",0.346,"trial_1",0.226
"370","JV3","PM1","Methyl Pyruvate",0.652,"trial_1",0.521
"371","JV3","PM1","D-Malic acid",0.135,"trial_1",0.098
"372","JV3","PM1","L-Malic acid",2.174,"trial_1",1.91666666666667
"373","JV3","PM1","Gly-Pro",0.579,"trial_1",0.511
"374","JV3","PM1","p-Hydroxyphenyl Acetic acid",1.023,"trial_1",1.353
"375","JV3","PM1","m-Hydroxyphenyl Acetic acid",0.014,"trial_1",0.00633333333333333
"376","JV3","PM1","Tyramine",0.674,"trial_1",2.05233333333333
